stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station
0100050,3rd St:Santa Clara Av,37.773268,-122.288228,58123,,
0100060,8th St:Portola Av,37.768814,-122.272992,52246,,
0100070,8th St:Portola Av,37.768993,-122.272798,57793,,
0100140,Ralph Appezzato Memorial Pkwy:3rd St,37.779826,-122.287530,58868,,
0100180,Atlantic Av:Constitution Way,37.779879,-122.275281,50101,,
0100250,Atlantic Av:Webster St,37.779599,-122.276121,50545,,
0100270,Aughinbaugh Way:Kofman Pkwy,37.741713,-122.250125,56711,,
0100280,Aughinbaugh Way:Mecartney Rd,37.738745,-122.252140,55876,,
0100290,Aughinbaugh Way:Mecartney Rd,37.738463,-122.251960,55852,,
0100300,Aughinbaugh Way:Robert Davey Jr Dr,37.742485,-122.250108,52110,,
0100310,Aughinbaugh Way:Robert Davey Jr Dr,37.742889,-122.249962,55487,,
0100320,Aughinbaugh Way:The Lagoon,37.740936,-122.251036,56504,,
0100330,Aughinbaugh Way:The Lagoon,37.740519,-122.251191,52420,,
0100340,Blanding Av:Broadway,37.768581,-122.233770,55987,,place_BDBL
0100350,Blanding Av:Broadway,37.768741,-122.233731,56668,,place_BDBL
0100460,Broadway:Santa Clara Av,37.763731,-122.238062,52249,,
0100470,Broadway:Tilden Way,37.767460,-122.235163,51545,,
0100860,Central Av:8th St,37.771430,-122.273254,54233,,
0100870,Central Av:8th St,37.771233,-122.273248,54330,,
0100900,Central Av:Bay St,37.771199,-122.264951,58331,,
0100910,Central Av:Bay St,37.771047,-122.264888,57978,,
0100930,Central Av:Weber St,37.771152,-122.269209,59430,,
0100940,Central Av:Weber St,37.771330,-122.269182,59865,,
0100960,Central Av:Webster St,37.771353,-122.276397,53365,,
0100970,Challenger Dr:Atlantic Av,37.781464,-122.270789,58996,,
0101010,Encinal Av:Alameda High School,37.763760,-122.246857,59123,,
0101020,Encinal Av:Benton St,37.770259,-122.261727,56758,,
0101050,Encinal Av:Chestnut St,37.766815,-122.253786,53040,,
0101060,Encinal Av:Chestnut St,37.766745,-122.254144,52664,,
0101070,Encinal Av:Fountain St,37.756696,-122.234717,56340,,
0101080,Encinal Av:Grand St,37.768792,-122.258387,52994,,
0101090,Encinal Av:Grand St,37.768609,-122.258366,51213,,
0101100,Encinal Av:High St,37.756284,-122.234396,56589,,
0101110,Encinal Av:Mound St,37.757911,-122.236708,56810,,
0101120,Encinal Av:Mound St,37.757739,-122.236182,56733,,
