direction_id,original_trip_id,route_id,trip_headsign,service_id,trip_id
0,30003018,3,BART Concord,3_merged_381003116,30003018_merged_381003522
0,20003102,2,Clayton,3_merged_381003123,20003102_merged_381005372
0,50002035,5,BART Concord Via BART Pleasant Hill,2_merged_381003124,50002035_merged_381006784
0,,23_merged_381003068,BART Dublin Via Bollinger Canyon,3_merged_381003116,230003024
0,,23_merged_381003068,BART Dublin Via Windemere Pkwy,3_merged_381003116,230003027
0,40002065,4,BART Pleasant Hill,2_merged_381003124,40002065_merged_381006685
0,,23_merged_381003068,BART Dublin Via Bollinger Canyon,3_merged_381003116,230003021
0,20001043,2,Clayton,1_merged_381003115,20001043_merged_381004820
0,,34_merged_381003085,San Ramon Transit Center,2_merged_381003117,340002035
1,,27_merged_381003091,BART Walnut Creek,5_merged_381003125,271005163
1,21002107,2,BART Concord,2_merged_381003117,21002107_merged_381004758
0,,34_merged_381003085,San Ramon Transit Center,2_merged_381003117,340002032
0,,34_merged_381003085,San Ramon Transit Center,2_merged_381003117,340002038
1,51002005,5,BART Walnut Creek Via BART Pleasant Hill,2_merged_381003117,51002005_merged_381003751
0,50002038,5,BART Concord Via BART Pleasant Hill,2_merged_381003124,50002038_merged_381006781
0,,20_merged_381003092,Diablo Valley College Via Monument,5_merged_381003125,200005033
0,,12_merged_381003101,BART Concord,1_merged_381003122,120001082
0,,12_merged_381003101,BART Concord,1_merged_381003122,120001085
1,131003024,13_merged_381003100,BART Walnut Creek,3_merged_381003123,131003024_merged_381006230
0,,20_merged_381003092,Diablo Valley College Via Monument,5_merged_381003125,200005036
0,,12_merged_381003101,BART Concord,1_merged_381003122,120001088
1,21002077,2,BART Concord,2_merged_381003117,21002077_merged_381003662
1,361002053,36_merged_381003110,BART Walnut Creek,2_merged_381003124,361002053_merged_381006124
0,120003036,12_merged_381003101,BART Concord,3_merged_381003123,120003036_merged_381007208
1,331003006,33_merged_381003113,San Ramon,3_merged_381003123,331003006_merged_381006152
0,,30_merged_381003109,Clockwise,2_merged_381003124,300002062
1,,18_merged_381003107,Kirker Pass Rd via Clayton Rd and Ayers,5_merged_381003125,181005039
1,,18_merged_381003107,Kirker Pass Rd via Clayton Rd and Ayers,5_merged_381003125,181005038
0,280003006,28_merged_381003096,Creekside,3_merged_381003123,280003006_merged_381005262
1,,30_merged_381003109,Counterclockwise,3_merged_381003123,301003039
0,350002020,35_merged_381003084,BART Dublin,2_merged_381003117,350002020_merged_381003387
0,300001028,30_merged_381003082,ACE Train Station,1_merged_381003115,300001028_merged_381005221
1,,30_merged_381003109,Counterclockwise,3_merged_381003123,301003033
0,120001064,12_merged_381003074,San Ramon Transit Center,1_merged_381003115,120001064_merged_381004979
0,,25_merged_381003062,Broadway Plaza,4_merged_381003119,250004087
0,,25_merged_381003062,Broadway Plaza,4_merged_381003119,250004081
0,,27_merged_381003091,Broadway Plaza,3_merged_381003123,270003077
0,190004013,19_merged_381003079,BART Concord,4_merged_381003119,190004013_merged_381003665
1,11001007,1,Shadelands Via BART Walnut Creek,1_merged_381003115,11001007_merged_381004449
0,260001028,26_merged_381003090,BART Dublin via San Ramon Valley Blvd,1_merged_381003122,260001028_merged_381005899
1,21002119,2,BART Concord,2_merged_381003117,21002119_merged_381004926
0,,27_merged_381003091,Broadway Plaza,5_merged_381003125,270005091
1,,11_merged_381003071,Diablo Valley College,1_merged_381003115,111001067
1,,26_merged_381003063,BART Walnut Creek,1_merged_381003115,261001055
1,,11_merged_381003071,Diablo Valley College,1_merged_381003115,111001064
1,,11_merged_381003071,Diablo Valley College,1_merged_381003115,111001061
1,,26_merged_381003063,BART Walnut Creek,1_merged_381003115,261001058
1,261003021,26_merged_381003063,BART Walnut Creek,3_merged_381003116,261003021_merged_381003712
0,60001067,6,Downtown Pleasant Hill,1_merged_381003122,60001067_merged_381006071
1,261002041,26_merged_381003063,BART Walnut Creek,2_merged_381003117,261002041_merged_381004295
1,121003018,12_merged_381003074,BART Walnut Creek,3_merged_381003116,121003018_merged_381004142
1,281001019,28_merged_381003096,BART Walnut Creek,1_merged_381003122,281001019_merged_381005698
0,310001016,31_merged_381003081,ACE Train,1_merged_381003115,310001016_merged_381004792
0,40002035,4,BART Pleasant Hill,2_merged_381003117,40002035_merged_381003197
1,61001052,6,BART Concord Via Downtown Pleasant Hill,1_merged_381003122,61001052_merged_381006052
1,21003102,2,BART Concord,3_merged_381003123,21003102_merged_381005743
1,131003012,13_merged_381003100,BART Walnut Creek,3_merged_381003123,131003012_merged_381005890
1,,33_merged_381003086,BART Walnut Creek Via Danville Park and Ride,1_merged_381003115,331001022
0,360002041,36_merged_381003110,San Ramon Transit Center,2_merged_381003124,360002041_merged_381006833
0,310002002,31_merged_381003108,BART Walnut Creek Via BART Pleasant Hill,2_merged_381003124,310002002_merged_381005829
0,60002068,6,Downtown Pleasant Hill,2_merged_381003117,60002068_merged_381004370
1,251003003,25_merged_381003089,San Ramon Via Bollinger Canyon,3_merged_381003123,251003003_merged_381006591
0,40001028,4,BART Pleasant Hill,1_merged_381003115,40001028_merged_381003451
0,,27_merged_381003091,Broadway Plaza,1_merged_381003122,270001129
1,341002017,34_merged_381003112,BART Walnut Creek,2_merged_381003124,341002017_merged_381006722
0,,27_merged_381003091,Broadway Plaza,1_merged_381003122,270001124
0,120003033,12_merged_381003074,San Ramon Transit Center,3_merged_381003116,120003033_merged_381005078
1,61003063,6,BART Concord Via Downtown Pleasant Hill,3_merged_381003116,61003063_merged_381004613
1,141001001,14_merged_381003103,BART Lafayette via Mount Diablo Blvd,1_merged_381003122,141001001_merged_381006061
1,351001010,35_merged_381003084,San Ramon Transit Center,1_merged_381003115,351001010_merged_381003862
0,60003066,6,Downtown Pleasant Hill,3_merged_381003123,60003066_merged_381007384
0,,25_merged_381003062,Broadway Plaza,5_merged_381003118,250005027
0,,20_merged_381003092,Diablo Valley College Via Monument,5_merged_381003125,200005032
0,,25_merged_381003062,Broadway Plaza,5_merged_381003118,250005020
1,,20_merged_381003065,BART Pleasant Hill Via AMTRAK,4_merged_381003119,201004008
1,,20_merged_381003065,BART Pleasant Hill Via AMTRAK,4_merged_381003119,201004009
1,,20_merged_381003092,BART Concord,4_merged_381003126,201004006
1,,20_merged_381003092,BART Concord,4_merged_381003126,201004007
1,,20_merged_381003065,BART Pleasant Hill Via AMTRAK,4_merged_381003119,201004004
1,,20_merged_381003065,BART Pleasant Hill Via AMTRAK,4_merged_381003119,201004005
1,,20_merged_381003092,BART Concord,4_merged_381003126,201004003
0,,25_merged_381003089,BART Dublin Via Windemere Pkwy,2_merged_381003124,250002038
1,,11_merged_381003071,Diablo Valley College,2_merged_381003117,111002092
1,331003009,33_merged_381003113,San Ramon,3_merged_381003123,331003009_merged_381006150
1,,15_merged_381003102,Martinez AMTRAK Via Diablo Valley College/VA Clinic,3_merged_381003123,151003012
1,51001046,5,BART Walnut Creek Via BART Pleasant Hill,1_merged_381003122,51001046_merged_381006073
0,,16_merged_381003105,Martinez Shuttle,3_merged_381003123,160003045
0,,16_merged_381003105,Martinez Shuttle,3_merged_381003123,160003042
0,320003015,32_merged_381003114,Airport Plaza,3_merged_381003123,320003015_merged_381006767
1,,15_merged_381003102,Martinez AMTRAK Via Diablo Valley College/VA Clinic,3_merged_381003123,151003018
1,,27_merged_381003091,BART Walnut Creek,5_merged_381003125,271005051
0,260001037,26_merged_381003090,BART Dublin via San Ramon Valley Blvd,1_merged_381003122,260001037_merged_381005746
1,311003018,31_merged_381003081,Mitchell Park and Ride,3_merged_381003116,311003018_merged_381003495
1,,27_merged_381003091,BART Walnut Creek,5_merged_381003125,271005055
0,280001076,28_merged_381003069,Clockwise,1_merged_381003115,280001076_merged_381003764
0,250001052,25_merged_381003062,Broadway Plaza,1_merged_381003115,250001052_merged_381004111
0,340002005,34_merged_381003112,Hillcrest Park and Ride,2_merged_381003124,340002005_merged_381005883
0,,29_merged_381003070,BART Walnut Creek Via BART Pleasant Hill,1_merged_381003115,290001016
1,281003057,28_merged_381003069,Counterclockwise,3_merged_381003116,281003057_merged_381003209
1,,24_merged_381003088,BART Walnut Creek,5_merged_381003125,241005020
0,80003030,8,BART Pleasant Hill,3_merged_381003116,80003030_merged_381003620
0,,29_merged_381003070,BART Walnut Creek Via BART Pleasant Hill,1_merged_381003115,290001019
1,21001073,2,BART Concord,1_merged_381003115,21001073_merged_381005062
1,311002017,31_merged_381003108,Diablo Valley College via BART Pleasant Hill,2_merged_381003124,311002017_merged_381006175
0,,11_merged_381003071,BART Concord,3_merged_381003116,110003054
0,,11_merged_381003071,BART Concord,3_merged_381003116,110003057
0,,11_merged_381003071,BART Concord,3_merged_381003116,110003051
0,,15_merged_381003075,Rossmoor Via BART Walnut Creek,4_merged_381003119,150004012
0,,15_merged_381003075,Rossmoor Via BART Walnut Creek,4_merged_381003119,150004013
0,10003009,1,Rossmoor via BART Walnut Creek,3_merged_381003123,10003009_merged_381005479
1,61002035,6,BART Concord Via Downtown Pleasant Hill,2_merged_381003124,61002035_merged_381006852
1,61001016,6,BART Concord Via Downtown Pleasant Hill,1_merged_381003115,61001016_merged_381003313
1,,13_merged_381003100,BART Walnut Creek,1_merged_381003122,131001070
0,10002011,1,Rossmoor via BART Walnut Creek,2_merged_381003124,10002011_merged_381006232
1,71002032,7,BART Concord via John Muir Medical Center,2_merged_381003124,71002032_merged_381005529
1,,11_merged_381003071,Diablo Valley College,2_merged_381003117,111002101
0,,24_merged_381003061,BART Dublin via San Ramon Valley Blvd,1_merged_381003115,240001022
1,251002008,25_merged_381003089,San Ramon Via Bollinger Canyon,2_merged_381003124,251002008_merged_381005284
0,,24_merged_381003061,BART Dublin via San Ramon Valley Blvd,1_merged_381003115,240001025
0,,24_merged_381003061,BART Dublin via San Ramon Valley Blvd,1_merged_381003115,240001028
0,,25_merged_381003062,Broadway Plaza,3_merged_381003116,250003077
0,,25_merged_381003062,Broadway Plaza,3_merged_381003116,250003072
0,,11_merged_381003071,BART Concord,2_merged_381003117,110002092
0,,15_merged_381003102,BART North Concord Via VA Clinic/Diablo Valley College,2_merged_381003124,150002020
1,,18_merged_381003107,Kirker Pass Rd via Clayton Rd and Ayers,5_merged_381003125,181005035
0,,11_merged_381003071,BART Concord,2_merged_381003117,110002095
0,,11_merged_381003071,BART Concord,2_merged_381003117,110002098
0,140001013,14_merged_381003076,BART North Concord Via VA Clinic/Diablo Valley College,1_merged_381003115,140001013_merged_381004454
0,290002050,29_merged_381003097,BART Lafayette via Saint Mary's College,2_merged_381003124,290002050_merged_381005776
1,,25_merged_381003062,BART Walnut Creek,3_merged_381003116,251003157
1,,25_merged_381003062,BART Walnut Creek,3_merged_381003116,251003154
0,290003051,29_merged_381003070,BART Walnut Creek Via BART Pleasant Hill,3_merged_381003116,290003051_merged_381003644
0,320002011,32_merged_381003087,Hillcrest Park and Ride,2_merged_381003117,320002011_merged_381004868
0,130003021,13_merged_381003073,BART Walnut Creek via Mount Diablo Blvd,3_merged_381003116,130003021_merged_381003567
0,130003024,13_merged_381003073,BART Walnut Creek via Mount Diablo Blvd,3_merged_381003116,130003024_merged_381004504
1,,27_merged_381003091,BART Walnut Creek,4_merged_381003126,271004092
1,51002008,5,BART Walnut Creek Via BART Pleasant Hill,2_merged_381003117,51002008_merged_381003752
1,,25_merged_381003062,BART Walnut Creek,2_merged_381003117,251002153
1,,25_merged_381003062,BART Walnut Creek,2_merged_381003117,251002156
1,281002047,28_merged_381003096,BART Walnut Creek,2_merged_381003124,281002047_merged_381006706
0,60001049,6,AMTRAK Via Downtown Pleasant Hill,1_merged_381003122,60001049_merged_381006384
1,261001028,26_merged_381003063,BART Walnut Creek,1_merged_381003115,261001028_merged_381003496
1,11003012,1,Shadelands Via BART Walnut Creek,3_merged_381003116,11003012_merged_381003239
0,280001070,28_merged_381003069,Clockwise,1_merged_381003115,280001070_merged_381003794
1,61002014,6,BART Concord Via Downtown Pleasant Hill,2_merged_381003124,61002014_merged_381007177
0,90003006,9,BART Concord,3_merged_381003123,90003006_merged_381005296
0,,10_merged_381003099,John Muir Med Ctr,2_merged_381003124,100002017
1,21003117,2,BART Concord,3_merged_381003123,21003117_merged_381005584
0,300003018,30_merged_381003109,Clockwise,3_merged_381003123,300003018_merged_381006263
1,,30_merged_381003109,Counterclockwise,3_merged_381003123,301003030
1,,30_merged_381003109,Counterclockwise,3_merged_381003123,301003036
0,120001055,12_merged_381003074,San Ramon Transit Center,1_merged_381003115,120001055_merged_381004766
0,50002002,5,BART Concord Via BART Pleasant Hill,2_merged_381003124,50002002_merged_381007260
1,,27_merged_381003091,BART Walnut Creek,4_merged_381003126,271004105
0,60001037,6,AMTRAK Via Downtown Pleasant Hill,1_merged_381003115,60001037_merged_381004406
0,280001025,28_merged_381003096,Creekside,1_merged_381003122,280001025_merged_381006111
1,21002065,2,BART Concord,2_merged_381003124,21002065_merged_381006650
1,251002014,25_merged_381003089,San Ramon Via Bollinger Canyon,2_merged_381003124,251002014_merged_381006676
0,250001016,25_merged_381003062,Broadway Plaza,1_merged_381003115,250001016_merged_381003508
1,311001010,31_merged_381003108,Diablo Valley College via BART Pleasant Hill,1_merged_381003122,311001010_merged_381006372
0,,27_merged_381003091,Broadway Plaza,3_merged_381003123,270003072
0,300002014,30_merged_381003082,Airport Plaza,2_merged_381003117,300002014_merged_381004712
1,41001028,4,BART Concord,1_merged_381003122,41001028_merged_381006841
1,21002062,2,BART Concord,2_merged_381003124,21002062_merged_381005870
1,,25_merged_381003062,BART Walnut Creek,1_merged_381003115,251001173
1,,25_merged_381003062,BART Walnut Creek,1_merged_381003115,251001170
1,281001019,28_merged_381003069,Counterclockwise,1_merged_381003115,281001019_merged_381003570
1,,25_merged_381003062,BART Walnut Creek,1_merged_381003115,251001178
1,131001016,13_merged_381003073,BART Lafayette via Mount Diablo Blvd,1_merged_381003115,131001016_merged_381005094
0,300002014,30_merged_381003109,Clockwise,2_merged_381003124,300002014_merged_381006840
1,,27_merged_381003064,BART Orinda via Saint Mary's College,3_merged_381003116,271003042
1,,27_merged_381003091,BART Walnut Creek,3_merged_381003123,271003041
1,,27_merged_381003091,BART Walnut Creek,3_merged_381003123,271003046
1,,27_merged_381003064,BART Orinda via Saint Mary's College,3_merged_381003116,271003047
0,20003093,2,Clayton,3_merged_381003123,20003093_merged_381005992
1,311002005,31_merged_381003081,San Ramon,2_merged_381003117,311002005_merged_381004179
1,,27_merged_381003091,BART Walnut Creek,3_merged_381003123,271003049
1,351001022,35_merged_381003111,BART Walnut Creek Via Danville Park and Ride,1_merged_381003122,351001022_merged_381005610
0,300003006,30_merged_381003109,Clockwise,3_merged_381003123,300003006_merged_381006102
1,141003024,14_merged_381003103,BART Lafayette via Mount Diablo Blvd,3_merged_381003123,141003024_merged_381006877
0,140001010,14_merged_381003103,BART Walnut Creek via Mount Diablo Blvd,1_merged_381003122,140001010_merged_381006581
1,291003021,29_merged_381003070,Diablo Valley College via BART Pleasant Hill,3_merged_381003116,291003021_merged_381003272
1,281001037,28_merged_381003096,BART Walnut Creek,1_merged_381003122,281001037_merged_381006036
0,,27_merged_381003091,Broadway Plaza,5_merged_381003125,270005136
1,261003006,26_merged_381003063,BART Walnut Creek,3_merged_381003116,261003006_merged_381004790
0,220004013,22_merged_381003094,Martinez via Downtown Pleasant Hill,4_merged_381003126,220004013_merged_381005858
1,11002008,1,Shadelands Via BART Walnut Creek,2_merged_381003117,11002008_merged_381004602
0,30002026,3,BART Concord,2_merged_381003124,30002026_merged_381006657
0,130003018,13_merged_381003073,BART Walnut Creek via Mount Diablo Blvd,3_merged_381003116,130003018_merged_381004927
0,120001040,12_merged_381003074,San Ramon Transit Center,1_merged_381003115,120001040_merged_381004619
0,290001055,29_merged_381003097,BART Lafayette via Saint Mary's College,1_merged_381003122,290001055_merged_381006883
0,30002011,3,BART Concord,2_merged_381003124,30002011_merged_381006203
1,281002056,28_merged_381003069,Counterclockwise,2_merged_381003117,281002056_merged_381003474
1,361003006,36_merged_381003110,BART Walnut Creek,3_merged_381003123,361003006_merged_381005548
0,,13_merged_381003100,San Ramon Transit Center,1_merged_381003122,130001070
0,180004032,18_merged_381003107,BART Concord,4_merged_381003126,180004032_merged_381006614
1,61002062,6,BART Concord Via Downtown Pleasant Hill,2_merged_381003117,61002062_merged_381003340
0,,16_merged_381003078,BART Concord,4_merged_381003119,160004028
0,,16_merged_381003078,BART Concord,4_merged_381003119,160004029
0,,25_merged_381003062,Broadway Plaza,2_merged_381003117,250002202
0,360003012,36_merged_381003083,BART Walnut Creek,3_merged_381003116,360003012_merged_381003131
0,,16_merged_381003078,BART Concord,4_merged_381003119,160004020
0,,16_merged_381003078,BART Concord,4_merged_381003119,160004021
1,271002011,27_merged_381003091,BART Walnut Creek,2_merged_381003124,271002011_merged_381005332
0,,16_merged_381003078,BART Concord,4_merged_381003119,160004024
1,71003009,7,BART Concord via John Muir Medical Center,3_merged_381003123,71003009_merged_381005999
1,,25_merged_381003062,BART Walnut Creek,5_merged_381003118,251005128
0,300003018,30_merged_381003082,Airport Plaza,3_merged_381003116,300003018_merged_381004135
0,350002011,35_merged_381003111,San Ramon Transit Center Via Danville Park and Ride,2_merged_381003124,350002011_merged_381006796
1,,25_merged_381003062,BART Walnut Creek,5_merged_381003118,251005122
0,20003039,2,Clayton,3_merged_381003123,20003039_merged_381005357
0,50001016,5,BART Concord Via BART Pleasant Hill,1_merged_381003122,50001016_merged_381005422
0,50001034,5,BART Concord Via BART Pleasant Hill,1_merged_381003115,50001034_merged_381003610
1,181004001,18_merged_381003080,BART Concord,4_merged_381003119,181004001_merged_381004281
0,40002002,4,BART Pleasant Hill,2_merged_381003117,40002002_merged_381003331
1,,27_merged_381003091,BART Walnut Creek,2_merged_381003124,271002022
1,,27_merged_381003064,BART Orinda via Saint Mary's College,2_merged_381003117,271002020
1,,27_merged_381003091,BART Walnut Creek,2_merged_381003124,271002027
1,,27_merged_381003064,BART Orinda via Saint Mary's College,2_merged_381003117,271002025
0,,23_merged_381003068,BART Dublin Via Bollinger Canyon,2_merged_381003117,230002062
1,,24_merged_381003061,San Ramon Transit Center Via San Ramon Valley Blvd,1_merged_381003115,241001022
1,21003075,2,BART Concord,3_merged_381003116,21003075_merged_381003653
1,,24_merged_381003061,San Ramon Transit Center Via San Ramon Valley Blvd,1_merged_381003115,241001025
1,,24_merged_381003061,San Ramon Transit Center Via San Ramon Valley Blvd,1_merged_381003115,241001028
0,30001028,3,BART Concord,1_merged_381003115,30001028_merged_381004205
1,11003018,1,Shadelands Via BART Walnut Creek,3_merged_381003116,11003018_merged_381003233
1,331003012,33_merged_381003086,BART Walnut Creek Via Danville Park and Ride,3_merged_381003116,331003012_merged_381004161
0,220004008,22_merged_381003067,San Ramon,4_merged_381003119,220004008_merged_381003554
1,141002014,14_merged_381003076,Martinez AMTRAK Via Diablo Valley College/VA Clinic,2_merged_381003117,141002014_merged_381004936
0,,13_merged_381003100,San Ramon Transit Center,3_merged_381003123,130003051
0,,13_merged_381003100,San Ramon Transit Center,3_merged_381003123,130003057
0,,13_merged_381003100,San Ramon Transit Center,3_merged_381003123,130003054
0,350003009,35_merged_381003084,BART Dublin,3_merged_381003116,350003009_merged_381004811
1,71001025,7,BART Concord via John Muir Medical Center,1_merged_381003115,71001025_merged_381005155
0,180005011,18_merged_381003107,BART Concord,5_merged_381003125,180005011_merged_381006766
1,141003027,14_merged_381003076,Martinez AMTRAK Via Diablo Valley College/VA Clinic,3_merged_381003116,141003027_merged_381004748
1,,27_merged_381003091,BART Walnut Creek,4_merged_381003126,271004033
0,,27_merged_381003091,Broadway Plaza,2_merged_381003124,270002017
1,361001013,36_merged_381003083,Martinez AMTRAK,1_merged_381003115,361001013_merged_381004043
0,360001043,36_merged_381003110,San Ramon Transit Center,1_merged_381003122,360001043_merged_381006110
1,331001010,33_merged_381003086,BART Walnut Creek Via Danville Park and Ride,1_merged_381003115,331001010_merged_381004733
1,271001013,27_merged_381003064,BART Orinda via Saint Mary's College,1_merged_381003115,271001013_merged_381005214
1,51002041,5,BART Walnut Creek Via BART Pleasant Hill,2_merged_381003117,51002041_merged_381004354
1,31003039,3,BART Pleasant Hill,3_merged_381003123,31003039_merged_381007252
1,361002008,36_merged_381003110,BART Walnut Creek,2_merged_381003124,361002008_merged_381007097
0,280002065,28_merged_381003069,Clockwise,2_merged_381003117,280002065_merged_381003251
0,80001001,8,BART Pleasant Hill,1_merged_381003122,80001001_merged_381006127
1,101002005,10_merged_381003072,BART Walnut Creek,2_merged_381003117,101002005_merged_381004559
0,320001004,32_merged_381003114,Airport Plaza,1_merged_381003122,320001004_merged_381006813
1,61001070,6,BART Concord Via Downtown Pleasant Hill,1_merged_381003115,61001070_merged_381003417
1,,27_merged_381003091,BART Walnut Creek,4_merged_381003126,271004177
0,280001031,28_merged_381003069,Clockwise,1_merged_381003115,280001031_merged_381003843
0,180005022,18_merged_381003080,Diablo Valley College Via Monument,5_merged_381003118,180005022_merged_381004312
1,21003009,2,BART Concord,3_merged_381003116,21003009_merged_381004299
1,41003036,4,BART Concord,3_merged_381003116,41003036_merged_381004227
0,120003003,12_merged_381003074,San Ramon Transit Center,3_merged_381003116,120003003_merged_381005234
0,120003063,12_merged_381003101,BART Concord,3_merged_381003123,120003063_merged_381006825
1,21003057,2,BART Concord,3_merged_381003116,21003057_merged_381003277
0,20002005,2,Clayton,2_merged_381003124,20002005_merged_381006478
0,,23_merged_381003068,BART Dublin Via Bollinger Canyon,3_merged_381003116,230003009
1,41001010,4,BART Concord,1_merged_381003115,41001010_merged_381005183
1,61003057,6,BART Concord Via Downtown Pleasant Hill,3_merged_381003123,61003057_merged_381007225
0,,23_merged_381003068,BART Dublin Via Bollinger Canyon,3_merged_381003116,230003003
0,,23_merged_381003068,BART Dublin Via Bollinger Canyon,3_merged_381003116,230003006
0,60001049,6,AMTRAK Via Downtown Pleasant Hill,1_merged_381003115,60001049_merged_381004256
1,31002035,3,BART Pleasant Hill,2_merged_381003124,31002035_merged_381007365
0,20002053,2,Clayton,2_merged_381003124,20002053_merged_381007237
1,281002020,28_merged_381003096,BART Walnut Creek,2_merged_381003124,281002020_merged_381007053
0,120003024,12_merged_381003074,San Ramon Transit Center,3_merged_381003116,120003024_merged_381004913
0,270001001,27_merged_381003064,BART Lafayette via Saint Mary's College,1_merged_381003115,270001001_merged_381003680
0,110002011,11_merged_381003098,Trotter Way,2_merged_381003124,110002011_merged_381006322
0,30003036,3,BART Concord,3_merged_381003123,30003036_merged_381005966
0,,10_merged_381003099,John Muir Med Ctr,1_merged_381003122,100001022
0,,10_merged_381003099,John Muir Med Ctr,1_merged_381003122,100001025
0,,20_merged_381003092,Diablo Valley College Via Monument,5_merged_381003125,200005019
1,31001013,3,BART Pleasant Hill,1_merged_381003115,31001013_merged_381004384
0,250002035,25_merged_381003089,BART Dublin Via Windemere Pkwy,2_merged_381003124,250002035_merged_381005750
