fare_id,price,currency_type,payment_method,transfers
134377,19,USD,1,0
134378,16,USD,1,0
134379,12,USD,1,0
134380,24,USD,1,0
134381,18,USD,1,0
134382,13,USD,1,0
134383,26,USD,1,0
134384,20,USD,1,0
134385,16,USD,1,0
134386,29,USD,1,0
134387,18,USD,1,0
134388,24,USD,1,0
134389,19,USD,1,0
134390,31,USD,1,0
134391,27,USD,1,0
134394,19,USD,1,0
134395,19,USD,1,0
134396,24,USD,1,0
134404,14,USD,1,0
134405,16,USD,1,0
134406,13,USD,1,0
134407,18,USD,1,0
134408,20,USD,1,0
134409,24,USD,1,0
134410,27,USD,1,0
134411,12,USD,1,0
134417,13,USD,1,0
134418,16,USD,1,0
134419,19,USD,1,0
134425,13,USD,1,0
134427,7,USD,1,0
134428,9,USD,1,0
134429,12,USD,1,0
134430,14,USD,1,0
134435,7.50,USD,1,0
134436,10,USD,1,0
134438,16,USD,1,0
134450,9,USD,1,0
134451,12,USD,1,0
134452,14,USD,1,0
134453,13,USD,1,0
134454,12,USD,1,0
134455,15,USD,1,0
134459,18,USD,1,0
134460,19,USD,1,0
134461,17,USD,1,0
134462,16,USD,1,0
134466,10,USD,1,0
134472,13,USD,1,0
134473,15,USD,1,0
134474,10,USD,1,0
134476,12,USD,1,0
134478,10,USD,1,0
134480,15,USD,1,0
134481,12,USD,1,0
134486,6,USD,1,0
134487,14,USD,1,0
134492,31,USD,1,0
134493,20,USD,1,0
134496,19,USD,1,0
134499,6,USD,1,0
134500,6,USD,1,0
134503,25,USD,1,0
134504,25,USD,1,0
134479,8.50,USD,1,0
134373,9,USD,1,0
134374,19,USD,1,0
134375,14,USD,1,0
134376,10,USD,1,0
134392,20,USD,1,0
134393,18,USD,1,0
134397,26,USD,1,0
134398,29,USD,1,0
134399,31,USD,1,0
134400,12,USD,1,0
134401,16,USD,1,0
134402,18,USD,1,0
134403,13,USD,1,0
134412,12,USD,1,0
134413,13,USD,1,0
134414,9,USD,1,0
134415,10,USD,1,0
134416,12,USD,1,0
134420,20,USD,1,0
134421,16,USD,1,0
134422,12,USD,1,0
134423,9,USD,1,0
134424,18,USD,1,0
134426,9,USD,1,0
134431,18,USD,1,0
134432,19,USD,1,0
134433,7.50,USD,1,0
134434,7,USD,1,0
134437,13,USD,1,0
134439,17,USD,1,0
134440,9,USD,1,0
134441,9,USD,1,0
134442,7.50,USD,1,0
134443,9,USD,1,0
134444,12,USD,1,0
134445,15,USD,1,0
134446,16,USD,1,0
134447,10,USD,1,0
134448,12,USD,1,0
134449,10,USD,1,0
134456,18,USD,1,0
134457,16,USD,1,0
134458,15,USD,1,0
134463,19,USD,1,0
134464,7.50,USD,1,0
134465,9,USD,1,0
134467,12,USD,1,0
134468,15,USD,1,0
134469,18,USD,1,0
134470,19,USD,1,0
134471,10,USD,1,0
134475,10,USD,1,0
134477,13,USD,1,0
134482,8.50,USD,1,0
134483,19,USD,1,0
134484,6,USD,1,0
134485,19,USD,1,0
134488,14,USD,1,0
134489,16,USD,1,0
134490,16,USD,1,0
134491,31,USD,1,0
134494,20,USD,1,0
134495,19,USD,1,0
134497,11,USD,1,0
134498,11,USD,1,0
134501,17,USD,1,0
134502,17,USD,1,0
