stop_id,stop_name,stop_lat,stop_lon,zone_id
1129121,AMTRAK JACK LONDON SQUARE,37.7935195578,-122.2719857651,4329
1129122,AMTRAK MARTINEZ,38.01951,-122.137097,4328
1129123,BERKELEY AMTRAK,37.867277,-122.300943,4322
1129124,EMERYVILLE AMTRAK,37.840547,-122.2913,4324
1129125,FREMONT AMTRAK,37.558224,-122.006762,4325
1129126,HAYWARD AMTRAK,37.666712,-122.098546,4327
1129127,OAKLAND COLISEUM,37.7534467879,-122.1974858222,4330
1129128,RICHMOND AMTRAK,37.9356889558,-122.3523063133,4331
1129129,SAN JOSE AMTRAK,37.329662,-121.901897,4336
1129130,SANTA CLARA GREAT AMERICA AMTRAK,37.406473,-121.966482,4326
12046652,SANTA CLARA UNIVERSITY AMTRAK,37.35304,-121.9362,53029
1129131,SUISUN-FAIRFIELD AMTRAK,38.243909,-122.040419,4337
