route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
4820,4047A5372,595129A4047B5372,,Loop,0,2_poeve,0,1
4820,4047A5371,595141A4047B5371,,Loop,0,6_poeve,1,1
4818,3903A5279,584518A3903B5279,,Loop,0,5,2,1
4817,4047A5370,595176A4047B5370,,Loop,0,6_holeve,3,1
4817,4046A5367,595082A4046B5367,,Loop,0,1_holfat,3,1
4820,4046A5367,594802A4046B5367,,Loop,0,2_shelpofat,1,1
4820,3962A5279,584995A3962B5279,,Loop,0,32,1,1
4818,3903A5279,584500A3903B5279,,Loop,0,4,2,1
4820,4046A5368,594827A4046B5368,,Loop,0,3_shelpofat,1,1
4817,4046A5367,595075A4046B5367,,Loop,0,6_holfat,3,1
4817,4047A5371,595169A4047B5371,,Loop,0,2_holeve,3,1
4820,4047A5369,595138A4047B5369,,Loop,0,7_poeve,1,1
4817,4046A5367,595086A4046B5367,,Loop,0,2_holfat,3,1
4821,3903A5279,584747A3903B5279,,South Shell/Powell – The Towers,0,23,4,1
4817,4046A5367,595065A4046B5367,,Loop,0,2_holfat,3,1
4817,4047A5370,595174A4047B5370,,Loop,0,4_holeve,3,1
4823,3903A5279,584836A3903B5279,,Loop,0,35,5,1
4817,4047A5372,595190A4047B5372,,Loop,0,5_holeve,3,1
4817,4047A5371,595166A4047B5371,,Loop,0,2_holeve,3,1
4817,4047A5371,595178A4047B5371,,Loop,0,5_holeve,3,1
4820,3903A5279,584579A3903B5279,,Loop,0,12,1,1
4817,4046A5368,595077A4046B5368,,Loop,0,2_holfat,3,1
4820,4047A5371,595109A4047B5371,,Loop,0,2_poeve,1,1
4817,4047A5371,595197A4047B5371,,Loop,0,6_holeve,3,1
4817,4046A5368,595056A4046B5368,,Loop,0,2_holfat,3,1
4817,4047A5371,595181A4047B5371,,Loop,0,5_holeve,3,1
4822,3903A5279,584802A3903B5279,,Loop,0,17,6,1
4820,3961A5279,584937A3961B5279,,Loop,0,26,1,1
4818,3903A5279,584492A3903B5279,,Loop,0,4,2,1
4820,4047A5372,595109A4047B5372,,Loop,0,2_poeve,1,1
4817,4047A5372,595197A4047B5372,,Loop,0,6_holeve,3,1
4817,4047A5372,595181A4047B5372,,Loop,0,5_holeve,3,1
4818,3903A5279,584489A3903B5279,,Loop,0,1,2,1
4817,4047A5372,595178A4047B5372,,Loop,0,5_holeve,3,1
4817,3903A5279,582151A3903B5279,,Loop,0,1,3,1
4820,4047A5369,595125A4047B5369,,Loop,0,6_poeve,1,1
4820,4047A5370,595123A4047B5370,,Loop,0,4_poeve,1,1
4820,3903A5279,584572A3903B5279,,Loop,0,16,1,1
4820,3903A5279,584568A3903B5279,,Loop,0,14,1,1
4820,4047A5370,595113A4047B5370,,Loop,0,2_poeve,1,1
4817,4047A5371,595190A4047B5371,,Loop,0,5_holeve,3,1
4820,4047A5369,595116A4047B5369,,Loop,0,1_poeve,1,1
4817,4047A5372,595166A4047B5372,,Loop,0,2_holeve,3,1
4817,4047A5370,595170A4047B5370,,Loop,0,3_holeve,3,1
4820,4047A5369,595146A4047B5369,,Loop,0,7_poeve,1,1
4821,3903A5279,584765A3903B5279,,South Shell/Powell – The Marina,0,20,7,1
4821,3903A5279,584745A3903B5279,,South Shell/Powell – The Towers,0,23,4,1
4820,4046A5368,594796A4046B5368,,Loop,0,4_shlepofat,1,1
4817,4046A5368,595081A4046B5368,,Loop,0,3_holfat,3,1
4823,3903A5279,584845A3903B5279,,Loop,0,34,5,1
4820,4046A5367,594845A4046B5367,,Loop,0,5_shelpofat,1,1
4817,4046A5368,595102A4046B5368,,Loop,0,6_holfat,3,1
4820,4046A5368,594831A4046B5368,,Loop,0,7_shelpofat,1,1
4817,4047A5372,595169A4047B5372,,Loop,0,2_holeve,3,1
4817,4046A5367,595054A4046B5367,,Loop,0,1_holfat,3,1
4818,3903A5279,584515A3903B5279,,Loop,0,5,2,1
4819,3903A5279,584533A3903B5279,,Loop,0,9,8,1
4820,3962A5279,585014A3962B5279,,Loop,0,32,1,1
4820,4046A5367,594797A4046B5367,,Loop,0,1_shelpofat,1,1
4820,4046A5367,594803A4046B5367,,Loop,0,3_shelpofat,1,1
4820,3903A5279,584595A3903B5279,,Loop,0,16,1,1
4820,4047A5371,595129A4047B5371,,Loop,0,2_poeve,1,1
4820,4047A5372,595141A4047B5372,,Loop,0,6_poeve,1,1
4820,3961A5279,584954A3961B5279,,Loop,0,24,1,1
4821,3903A5279,584755A3903B5279,,South Shell/Powell – The Marina,0,22,7,1
4821,3903A5279,584767A3903B5279,,South Shell/Powell – The Marina,0,20,7,1
4817,4047A5372,595168A4047B5372,,Loop,0,1_holeve,3,1
4820,4046A5368,594838A4046B5368,,Loop,0,6_shelpofat,1,1
4820,3962A5279,584990A3962B5279,,Loop,0,32,1,1
4817,4046A5368,595084A4046B5368,,Loop,0,3_holfat,3,1
4820,4046A5367,594820A4046B5367,,Loop,0,8_shelpofat,1,1
4817,3903A5279,584452A3903B5279,,Loop,0,8,3,1
4817,4047A5370,595156A4047B5370,,Loop,0,1_holeve,3,1
4823,3903A5279,584832A3903B5279,,Loop,0,35,5,1
4819,3903A5279,584536A3903B5279,,Loop,0,9,8,1
4820,4047A5371,595111A4047B5371,,Loop,0,4_poeve,1,1
4817,4047A5370,595153A4047B5370,,Loop,0,1_holeve,3,1
4817,4047A5372,595186A4047B5372,,Loop,0,4_holeve,3,1
4817,3903A5279,584461A3903B5279,,Loop,0,11,3,1
4820,3903A5279,584578A3903B5279,,Loop,0,16,1,1
4817,4047A5369,595173A4047B5369,,Loop,0,3_holeve,3,1
4817,3903A5279,584455A3903B5279,,Loop,0,1,3,1
4817,4047A5369,595183A4047B5369,,Loop,0,4_holeve,3,1
4820,4046A5367,594837A4046B5367,,Loop,0,5_shelpofat,1,1
4818,3903A5279,584494A3903B5279,,Loop,0,2,2,1
4820,4046A5368,594825A4046B5368,,Loop,0,1_shelpofat,1,1
4820,4047A5370,595150A4047B5370,,Loop,0,7_poeve,1,1
4821,3903A5279,584766A3903B5279,,South Shell/Powell – The Marina,0,22,7,1
4817,4047A5370,595160A4047B5370,,Loop,0,2_holeve,3,1
4817,4047A5371,595186A4047B5371,,Loop,0,4_holeve,3,1
4817,4046A5368,595105A4046B5368,,Loop,0,6_holfat,3,1
4820,4046A5367,594813A4046B5367,,Loop,0,5_shelpofat,1,1
4820,4047A5372,595111A4047B5372,,Loop,0,4_poeve,1,1
4820,4047A5370,595131A4047B5370,,Loop,0,4_poeve,1,1
4817,4046A5367,595091A4046B5367,,Loop,0,4_holfat,3,1
4817,4046A5367,595064A4046B5367,,Loop,0,1_holfat,3,1
4820,4046A5367,594836A4046B5367,,Loop,0,8_shelpofat,1,1
4817,4047A5370,595158A4047B5370,,Loop,0,3_holeve,3,1
4820,4047A5369,595108A4047B5369,,Loop,0,1_poeve,1,1
4820,4047A5370,595110A4047B5370,,Loop,0,3_poeve,1,1
4820,4047A5369,595152A4047B5369,,Loop,0,5_poeve,1,1
4820,4047A5370,595132A4047B5370,,Loop,0,5_poeve,1,1
4817,4047A5371,595168A4047B5371,,Loop,0,1_holeve,3,1
4820,4047A5369,595140A4047B5369,,Loop,0,5_poeve,1,1
4821,3903A5279,584736A3903B5279,,South Shell/Powell – The Towers,0,21,4,1
4817,4047A5369,595172A4047B5369,,Loop,0,2_holeve,3,1
4817,4046A5368,595106A4046B5368,,Loop,0,4_holfat,3,1
4819,3903A5279,584532A3903B5279,,Loop,0,8,8,1
4820,4046A5367,594818A4046B5367,,Loop,0,6_shelpofat,1,1
4818,3903A5279,584504A3903B5279,,Loop,0,11,2,1
4817,4047A5370,595154A4047B5370,,Loop,0,2_holeve,3,1
4819,3903A5279,584561A3903B5279,,Loop,0,10,8,1
4820,4047A5371,595146A4047B5371,,Loop,0,7_poeve,1,1
4818,3903A5279,584507A3903B5279,,Loop,0,11,2,1
4817,4047A5369,595190A4047B5369,,Loop,0,5_holeve,3,1
4820,4047A5371,595116A4047B5371,,Loop,0,1_poeve,1,1
4822,3903A5279,584787A3903B5279,,Loop,0,14,6,1
4820,4047A5371,595125A4047B5371,,Loop,0,6_poeve,1,1
4822,3903A5279,584780A3903B5279,,Loop,0,13,6,1
4817,4046A5368,595099A4046B5368,,Loop,0,6_holfat,3,1
4819,3903A5279,584552A3903B5279,,Loop,0,10,8,1
4820,3961A5279,584935A3961B5279,,Loop,0,24,1,1
4820,4046A5368,594807A4046B5368,,Loop,0,3_shelpofat,1,1
4818,3903A5279,584517A3903B5279,,Loop,0,6,2,1
4817,4046A5368,595061A4046B5368,,Loop,0,1_holfat,3,1
4820,4047A5369,595129A4047B5369,,Loop,0,2_poeve,1,1
4821,3903A5279,584730A3903B5279,,South Shell/Powell – The Towers,0,21,4,1
4817,4046A5368,595076A4046B5368,,Loop,0,1_holfat,3,1
4820,4046A5367,594811A4046B5367,,Loop,0,3_shelpofat,1,1
4820,3961A5279,584953A3961B5279,,Loop,0,26,1,1
4820,4046A5367,594800A4046B5367,,Loop,0,4_shlepofat,1,1
4820,4047A5372,595138A4047B5372,,Loop,0,7_poeve,1,1
4817,4047A5370,595180A4047B5370,,Loop,0,4_holeve,3,1
4817,4046A5368,595062A4046B5368,,Loop,0,2_holfat,3,1
4820,3962A5279,585018A3962B5279,,Loop,0,33,1,1
4820,3961A5279,584934A3961B5279,,Loop,0,26,1,1
4820,4046A5368,594844A4046B5368,,Loop,0,8_shelpofat,1,1
4817,4047A5369,595169A4047B5369,,Loop,0,2_holeve,3,1
4820,4047A5371,595138A4047B5371,,Loop,0,7_poeve,1,1
4817,4047A5370,595159A4047B5370,,Loop,0,1_holeve,3,1
4821,3903A5279,584733A3903B5279,,South Shell/Powell – The Towers,0,23,4,1
4817,4046A5367,595103A4046B5367,,Loop,0,4_holfat,3,1
