trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
3809A127B2472,6:00:00,6:00:00,9827,1,,0,0,0
3809A127B2472,6:39:00,6:39:00,5351,2,,0,0,29.56116787
3809A127B2472,6:46:00,6:46:00,28635,3,,0,0,32.00323976
3813A127B2472,15:01:00,15:01:00,9827,1,,0,0,0
3813A127B2472,15:41:00,15:41:00,5351,2,,0,0,29.56116787
3799A127B2472,7:08:00,7:08:00,28635,1,,0,0,0
3799A127B2472,7:15:00,7:15:00,5351,2,,0,0,2.61801766
3799A127B2472,7:55:00,7:55:00,9827,3,,0,0,33.06157893
3800A127B2472,07:23:00,07:23:00,28635,1,,0,0,0
3800A127B2472,07:37:00,07:37:00,5351,2,,0,0,2.61801766
3800A127B2472,08:17:00,08:17:00,9827,3,,0,0,33.06157893
3807A127B2472,18:47:00,18:47:00,5351,1,,0,0,0
3807A127B2472,19:30:00,19:30:00,9827,2,,0,0,30.4408517
3802A127B2472,07:46:00,07:46:00,28635,1,,0,0,0
3802A127B2472,08:15:00,08:15:00,5351,2,,0,0,2.61801766
3802A127B2472,08:55:00,08:55:00,9827,3,,0,0,33.06157893
23835A421B2472,17:30:00,17:30:00,795462,1,,0,0,0
23835A421B2472,17:30:00,17:30:00,795555,2,,0,0,0.49583335
23835A421B2472,18:05:00,18:05:00,5412,3,,0,0,21.87391552
23835A421B2472,18:20:00,18:20:00,5410,4,,0,0,32.74889462
23835A421B2472,18:36:00,18:36:00,5351,5,,1,0,44.17237366
3793A127B2472,6:23:00,6:23:00,28635,1,,0,0,0
3793A127B2472,6:30:00,6:30:00,5351,2,,0,0,2.61801766
3793A127B2472,7:10:00,7:10:00,9827,3,,0,0,33.06157893
2684A127B2472,07:16:00,07:16:00,5410,1,,0,0,0
2684A127B2472,07:33:00,07:33:00,5351,2,,0,0,11.41951985
2684A127B2472,07:49:00,07:49:00,5416,3,,0,0,27.23476963
2684A127B2472,08:12:00,08:12:00,5417,4,,1,0,39.34722456
2684A127B2472,08:25:00,08:25:00,5418,5,,0,0,41.62798425
3791A127B2472,5:08:00,5:08:00,28635,1,,0,0,0
3791A127B2472,5:15:00,5:15:00,5351,2,,0,0,2.61801766
3791A127B2472,5:55:00,5:55:00,9827,3,,0,0,33.06157893
