shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.2940582,37.790667,1,0.00000000
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.294157,37.791191,2,58.80741530
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.294184,37.791308,3,72.00950690
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.294018,37.791895,4,138.78261300
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.280384,37.793726,5,1356.72672050
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.280057,37.793921,6,1392.75401940
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.280046,37.794188,7,1422.40487220
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.280148,37.794442,8,1451.99381440
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.279777,37.795032,9,1525.17893170
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.280148,37.794442,10,1598.36404910
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.280051,37.794196,11,1626.97365010
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.280062,37.793923,12,1657.29011060
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.280357,37.793722,13,1691.53668460
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.286033,37.793126,14,2195.82657340
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.296783,37.791499,15,3159.74897020
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.298732,37.791221,16,3334.16927950
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.300888,37.791138,17,3524.29509290
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.303844,37.791348,18,3785.70333070
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.326888,37.796441,19,5892.61535820
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.330503,37.797395,20,6228.14916790
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.331611,37.797482,21,6326.21120820
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.332861,37.797206,22,6440.48584610
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.334581,37.796043,23,6639.51205300
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.338025,37.791488,24,7229.10299930
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.339388,37.787567,25,7680.56074680
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.334926,37.773281,26,9314.19164710
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.324624,37.740247,27,13091.41554750
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.337455,37.703509,28,17323.01641890
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.370703,37.664679,29,22535.97948570
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.3714,37.664407,30,22604.48700830
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.372612,37.664203,31,22713.79412830
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.377129,37.664237,32,23112.35335240
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.377274,37.664139,33,23129.14576390
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.377269,37.663774,34,23169.65956240
23af6ce1-4b6a-4040-b809-571bf3f0fdbd,-122.3772452,37.662676,35,23291.54479810
3e0e29d8-9352-46f3-af91-8964bf889311,-122.2797803,37.79503,1,0.00000000
3e0e29d8-9352-46f3-af91-8964bf889311,-122.28015,37.79444,2,73.13328360
3e0e29d8-9352-46f3-af91-8964bf889311,-122.28006,37.79419,3,101.99149180
3e0e29d8-9352-46f3-af91-8964bf889311,-122.28007,37.79392,4,131.97242970
3e0e29d8-9352-46f3-af91-8964bf889311,-122.28036,37.79372,5,165.81318250
3e0e29d8-9352-46f3-af91-8964bf889311,-122.28604,37.79312,6,670.51075940
3e0e29d8-9352-46f3-af91-8964bf889311,-122.29341,37.79199,7,1331.66058270
3e0e29d8-9352-46f3-af91-8964bf889311,-122.29416,37.79119,8,1442.33283520
3e0e29d8-9352-46f3-af91-8964bf889311,-122.29406,37.79066,9,1501.81464550
3e0e29d8-9352-46f3-af91-8964bf889311,-122.29416,37.79119,10,1561.29645580
3e0e29d8-9352-46f3-af91-8964bf889311,-122.29446,37.79145,11,1600.42480160
3e0e29d8-9352-46f3-af91-8964bf889311,-122.29681,37.79213,12,1820.74434280
3e0e29d8-9352-46f3-af91-8964bf889311,-122.30039,37.79193,13,2136.85087740
3e0e29d8-9352-46f3-af91-8964bf889311,-122.30417,37.7923,14,2472.31580150
3e0e29d8-9352-46f3-af91-8964bf889311,-122.33096,37.79869,15,4936.15549690
3e0e29d8-9352-46f3-af91-8964bf889311,-122.3327,37.7988,16,5089.88628360
3e0e29d8-9352-46f3-af91-8964bf889311,-122.36549,37.79739,17,7982.02824690
3e0e29d8-9352-46f3-af91-8964bf889311,-122.39194,37.79624,18,10315.08623140
3e0e29d8-9352-46f3-af91-8964bf889311,-122.39206,37.7959,19,10354.27580050
3e0e29d8-9352-46f3-af91-8964bf889311,-122.39191,37.79627,20,10397.41578460
3e0e29d8-9352-46f3-af91-8964bf889311,-122.38888,37.79854,21,10764.42565110
3e0e29d8-9352-46f3-af91-8964bf889311,-122.38882,37.79866,22,10778.75475020
3e0e29d8-9352-46f3-af91-8964bf889311,-122.38883,37.79882,23,10796.53540320
3e0e29d8-9352-46f3-af91-8964bf889311,-122.38887,37.79896,24,10812.46871250
3e0e29d8-9352-46f3-af91-8964bf889311,-122.38904,37.79918,25,10841.11174810
3e0e29d8-9352-46f3-af91-8964bf889311,-122.39692,37.80962,26,12191.78108880
3e0e29d8-9352-46f3-af91-8964bf889311,-122.39827,37.81048,27,12344.23981510
3e0e29d8-9352-46f3-af91-8964bf889311,-122.4066,37.81313,28,13134.52480430
3e0e29d8-9352-46f3-af91-8964bf889311,-122.40921,37.81345,29,13367.07585400
3e0e29d8-9352-46f3-af91-8964bf889311,-122.40994,37.81344,30,13431.36521820
3e0e29d8-9352-46f3-af91-8964bf889311,-122.41037,37.81334,31,13470.82198010
3e0e29d8-9352-46f3-af91-8964bf889311,-122.4116,37.81271,32,13599.74105830
3e0e29d8-9352-46f3-af91-8964bf889311,-122.41268,37.8117,33,13746.74835420
3e0e29d8-9352-46f3-af91-8964bf889311,-122.41358,37.81007,34,13944.26372820
3e0e29d8-9352-46f3-af91-8964bf889311,-122.41233,37.80965,35,14063.80162330
3e0e29d8-9352-46f3-af91-8964bf889311,-122.4122803,37.80959,36,14071.76910990
4a00f820-db78-473e-8dbe-e828c68973bf,-122.3772452,37.662676,1,0.00000000
