service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20141214-1,1,1,1,1,1,0,0,20150614,20151212
20141214-7,0,0,0,0,0,1,0,20150614,20151212
20141214-8,0,0,0,0,0,0,1,20150614,20151212
20150817-2,1,0,0,0,0,0,0,20150817,20151212
20150817-3,0,1,0,0,0,0,0,20150817,20151212
20150817-4,0,0,1,0,0,0,0,20150817,20151212
20150817-5,0,0,0,1,0,0,0,20150817,20151212
20150817-6,0,0,0,0,1,0,0,20150817,20151212
20141214-1-STG,1,1,1,1,1,0,0,20150614,20151212
20150301-7-STG,0,0,0,0,0,1,0,20150614,20151212
20150301-8-STG,0,0,0,0,0,0,1,20150614,20151212
20150404-MWS-SH,0,0,0,0,0,1,1,20150908,20151025
20150404-MWS-PK,0,0,0,0,0,1,1,20150614,20150906
20150506-4-STG,0,0,1,0,0,0,0,20150614,20151212
20150404-MWS-WD,1,1,1,1,1,0,0,20150622,20150814
