route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
12,20141214-7,20141214-219501,Eastbound,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219502,Westbound,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219503,Eastbound,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219504,Westbound,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219505,Eastbound,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219506,Westbound,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219507,Eastbound,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219508,Westbound,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219509,Eastbound,1,20141214-704,20141214-CS-3
12,20141214-7,20141214-219510,Westbound,0,20141214-704,20141214-CS-2
12,20141214-7,20141214-219511,Eastbound,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219512,Westbound,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219513,Eastbound,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219514,Westbound,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219515,Eastbound,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219516,Westbound,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219517,Eastbound,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219518,Westbound,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219519,Eastbound,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219520,Westbound,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219521,Eastbound,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219522,Westbound,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219523,Eastbound,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219524,Westbound,0,20141214-703,20141214-CS-2
12,20141214-7,20141214-219525,Eastbound,1,20141214-703,20141214-CS-3
12,20141214-7,20141214-219526,Westbound,0,20141214-703,20141214-CS-2
