trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
108495A1710B3027,05:15:00,05:15:00,27706,1,"",0,0,0
108495A1710B3027,05:16:00,05:16:00,27736,2,"",2,3,0.23836059
108495A1710B3027,,,27732,3,"",0,3,0.78884592
108495A1710B3027,05:17:00,05:17:00,27733,4,"",2,3,0.90343408
108495A1710B3027,,,27709,5,"",2,3,1.02884997
108495A1710B3027,05:18:00,05:18:00,27735,6,"",2,3,1.18542137
108495A1710B3027,,,27737,7,"",2,3,1.4049185
108495A1710B3027,05:19:00,05:19:00,27703,8,"",2,3,2.19073214
108495A1710B3027,,,27712,9,"",2,3,2.27378304
108495A1710B3027,05:25:00,05:25:00,27715,10,"",0,0,2.43747734
108495A1710B3027,,,27716,11,"",2,3,2.56154751
108495A1710B3027,05:26:00,05:26:00,27717,12,"",2,3,2.90965189
108495A1710B3027,,,27731,13,"",2,3,3.23678968
108495A1710B3027,05:27:00,05:27:00,27718,14,"",2,3,3.45467296
108495A1710B3027,05:30:00,05:30:00,27719,15,"",0,0,3.55899222
108495A1710B3027,,,27720,16,"",2,3,3.65220836
108495A1710B3027,,,27721,17,"",2,3,3.80645799
108495A1710B3027,05:31:00,05:31:00,27722,18,"",2,3,3.88654677
108495A1710B3027,05:32:00,05:32:00,27723,19,"",2,3,4.01382362
108495A1710B3027,,,27724,20,"",2,3,4.25734953
108495A1710B3027,05:35:00,05:35:00,1537,21,"",0,0,4.4074596
108495A1710B3027,,,1557,22,"",2,3,4.53883739
108495A1710B3027,,,1552,23,"",2,3,4.66396133
108495A1710B3027,05:36:00,05:36:00,27730,24,"",2,3,4.91204817
108495A1710B3027,05:45:00,05:45:00,1538,25,"",2,3,10.62669046
108495A1710B3027,05:48:00,05:48:00,13519,26,"",2,3,12.6077524
108495A1710B3027,06:05:00,06:05:00,27691,27,"",2,3,30.11302814
108495A1710B3027,06:25:00,06:25:00,1531,28,"",0,0,39.59774468
108502A1710B3027,13:20:00,13:20:00,1533,1,"",0,0,0
108502A1710B3027,,,2803,2,"",2,3,0.28020122
108502A1710B3027,,,27689,3,"",2,3,1.50576478
108502A1710B3027,,,27690,4,"",2,3,1.68840501
108502A1710B3027,13:32:00,13:32:00,1528,5,"",0,0,1.83158896
108502A1710B3027,,,1560,6,"",2,3,2.17155953
108502A1710B3027,,,1562,7,"",2,3,2.62756514
108502A1710B3027,,,9773,8,"",2,3,3.42615655
108502A1710B3027,,,1553,9,"",2,3,4.66486102
108502A1710B3027,13:46:00,13:50:00,1576,10,"",0,0,4.76982704
108502A1710B3027,,,1540,11,"",2,3,15.26584968
108502A1710B3027,,,1526,12,"",2,3,24.23199183
108502A1710B3027,,,27706,13,"",2,3,24.602005
108502A1710B3027,,,27736,14,"",2,3,24.84044901
108502A1710B3027,,,27732,15,"",2,3,25.39093434
108502A1710B3027,,,27733,16,"",2,3,25.50552249
108502A1710B3027,,,27709,17,"",2,3,25.63093839
108502A1710B3027,,,27735,18,"",2,3,25.78750979
108502A1710B3027,,,27737,19,"",2,3,26.00700692
108502A1710B3027,,,27711,20,"",2,3,26.79340477
108502A1710B3027,,,27712,21,"",2,3,26.87645568
108502A1710B3027,,,27715,22,"",2,3,27.04014997
108502A1710B3027,,,27716,23,"",2,3,27.16422014
108502A1710B3027,,,27717,24,"",2,3,27.51232452
108502A1710B3027,,,27731,25,"",2,3,27.83946232
108502A1710B3027,,,27718,26,"",2,3,28.05734559
108502A1710B3027,,,27719,27,"",2,3,28.16166485
108502A1710B3027,,,27720,28,"",2,3,28.254881
108502A1710B3027,,,27721,29,"",2,3,28.40913062
108502A1710B3027,,,27722,30,"",2,3,28.4892194
108502A1710B3027,,,27723,31,"",2,3,28.61649625
108502A1710B3027,,,27724,32,"",2,3,28.86002216
108502A1710B3027,,,1537,33,"",2,3,29.01013223
108502A1710B3027,14:20:00,14:20:00,1557,34,"",0,0,29.14151002
108502A1710B3027,,,1552,35,"",2,3,29.26663396
108502A1710B3027,,,27730,36,"",2,3,29.5147208
108502A1710B3027,14:28:00,14:28:00,1538,37,"",2,3,35.22936309
108509A1710B3027,09:15:00,09:15:00,1533,1,"",0,0,0
108509A1710B3027,,,2803,2,"",2,3,0.28020122
108509A1710B3027,,,27689,3,"",2,3,1.50576478
108509A1710B3027,,,27690,4,"",2,3,1.68840501
108509A1710B3027,09:30:00,09:30:00,1528,5,"",0,0,1.83158896
108509A1710B3027,,,1560,6,"",2,3,2.17155953
108509A1710B3027,,,1562,7,"",2,3,2.62756514
108509A1710B3027,,,9773,8,"",2,3,3.42615655
108509A1710B3027,,,1553,9,"",2,3,4.66486102
108509A1710B3027,09:40:00,09:45:00,1576,10,"",0,0,4.76982704
108509A1710B3027,,,1540,11,"",2,3,15.26584968
108509A1710B3027,,,1526,12,"",2,3,24.23199183
108509A1710B3027,,,27706,13,"",2,3,24.602005
108509A1710B3027,,,27736,14,"",2,3,24.84044901
108509A1710B3027,,,27732,15,"",2,3,25.39093434
108509A1710B3027,,,27733,16,"",2,3,25.50552249
108509A1710B3027,,,27709,17,"",2,3,25.63093839
108509A1710B3027,,,27735,18,"",2,3,25.78750979
108509A1710B3027,,,27737,19,"",2,3,26.00700692
108509A1710B3027,,,27711,20,"",2,3,26.79340477
108509A1710B3027,,,27712,21,"",2,3,26.87645568
108509A1710B3027,,,27715,22,"",2,3,27.04014997
108509A1710B3027,,,27716,23,"",2,3,27.16422014
108509A1710B3027,,,27717,24,"",2,3,27.51232452
108509A1710B3027,,,27731,25,"",2,3,27.83946232
108509A1710B3027,,,27718,26,"",2,3,28.05734559
108509A1710B3027,,,27719,27,"",2,3,28.16166485
108509A1710B3027,,,27720,28,"",2,3,28.254881
108509A1710B3027,,,27721,29,"",2,3,28.40913062
108509A1710B3027,,,27722,30,"",2,3,28.4892194
108509A1710B3027,,,27723,31,"",2,3,28.61649625
108509A1710B3027,,,27724,32,"",2,3,28.86002216
108509A1710B3027,,,1537,33,"",2,3,29.01013223
108509A1710B3027,11:16:00,11:16:00,1557,34,"",0,0,29.14151002
108509A1710B3027,,,1552,35,"",2,3,29.26663396
108509A1710B3027,,,27730,36,"",2,3,29.5147208
108509A1710B3027,11:22:00,11:22:00,1538,37,"",2,3,35.22936309
108494A1710B3027,18:00:00,18:00:00,1531,1,"",0,0,0
108494A1710B3027,18:23:00,18:23:00,27691,2,"",0,0,9.29516339
108494A1710B3027,18:45:00,18:45:00,1538,3,"",2,2,29.28171743
108494A1710B3027,18:48:00,18:48:00,13519,4,"",0,0,31.26278116
108494A1710B3027,18:58:00,18:58:00,1563,5,"",0,0,34.8835521
108494A1710B3027,18:59:00,18:59:00,27725,6,"",0,0,35.18545074
108494A1710B3027,,,1537,7,"",0,0,35.37817858
108494A1710B3027,19:00:00,19:00:00,1557,8,"",0,0,35.50925853
108494A1710B3027,19:01:00,19:01:00,27694,9,"",0,0,35.57054036
108494A1710B3027,,,27705,10,"",0,0,35.82394534
108494A1710B3027,19:02:00,19:02:00,27726,11,"",0,0,35.92071193
108494A1710B3027,19:03:00,19:03:00,27695,12,"",0,0,36.06138629
108494A1710B3027,,,27696,13,"",0,0,36.11604741
108494A1710B3027,19:05:00,19:05:00,27697,14,"",0,0,36.28900046
108494A1710B3027,,,27698,15,"",0,0,36.38992723
108494A1710B3027,19:06:00,19:06:00,27699,16,"",0,0,36.57595535
108494A1710B3027,19:07:00,19:07:00,27700,17,"",0,0,36.99347712
108494A1710B3027,19:08:00,19:08:00,27701,18,"",0,0,37.29484476
108494A1710B3027,19:15:00,19:15:00,27727,19,"",0,0,37.39567176
108494A1710B3027,19:16:00,19:16:00,27702,20,"",0,0,37.57824451
108494A1710B3027,,,27703,21,"",0,0,37.65813792
108494A1710B3027,19:17:00,19:17:00,27728,22,"",0,0,38.46122531
108494A1710B3027,,,27710,23,"",0,0,38.68689844
108494A1710B3027,19:18:00,19:18:00,27734,24,"",0,0,38.83678733
108494A1710B3027,,,27708,25,"",0,0,38.94842196
108494A1710B3027,19:19:00,19:19:00,27707,26,"",0,0,39.05623974
108494A1710B3027,,,27713,27,"",0,0,39.49191549
108494A1710B3027,19:20:00,19:20:00,27729,28,"",0,0,39.60866633
108494A1710B3027,19:25:00,19:25:00,27706,29,"",0,0,39.81559608
108498A1710B3027,07:30:00,07:30:00,1538,1,"",0,0,0
108498A1710B3027,,,13519,2,"",2,3,1.97422325
108498A1710B3027,,,1563,3,"",2,3,5.59499419
108498A1710B3027,,,27725,4,"",2,3,5.89689283
108498A1710B3027,,,1537,5,"",2,3,6.08962067
108498A1710B3027,,,1557,6,"",2,3,6.22070062
108498A1710B3027,,,27694,7,"",2,3,6.28198244
108498A1710B3027,,,27705,8,"",2,3,6.53538743
108498A1710B3027,,,27726,9,"",2,3,6.63215402
108498A1710B3027,,,27695,10,"",2,3,6.77282838
108498A1710B3027,,,27696,11,"",2,3,6.8274895
108498A1710B3027,07:35:00,07:35:00,27697,12,"",0,0,7.00044255
108498A1710B3027,,,27698,13,"",2,3,7.10136932
108498A1710B3027,,,27699,14,"",2,3,7.28739744
108498A1710B3027,,,27700,15,"",2,3,7.70491921
108498A1710B3027,,,27701,16,"",2,3,8.00628685
108498A1710B3027,07:40:00,07:40:00,27727,17,"",0,0,8.10711385
108498A1710B3027,,,27702,18,"",2,3,8.2896866
108498A1710B3027,,,27703,19,"",2,3,8.36958001
108498A1710B3027,,,27728,20,"",2,3,9.1726674
108498A1710B3027,,,27710,21,"",2,3,9.39834053
108498A1710B3027,,,27734,22,"",2,3,9.54822941
108498A1710B3027,,,27708,23,"",2,3,9.65986405
108498A1710B3027,,,27707,24,"",2,3,9.76768183
108498A1710B3027,,,27713,25,"",2,3,10.20335758
108498A1710B3027,,,27729,26,"",2,3,10.32010842
108498A1710B3027,08:00:00,08:00:00,27706,27,"",0,0,10.52703817
108498A1710B3027,,,1540,28,"",2,3,19.87581317
108498A1710B3027,08:35:00,08:35:00,1576,29,"",0,0,30.31156249
108498A1710B3027,08:40:00,08:40:00,27738,30,"",0,0,32.54797438
108498A1710B3027,,,27692,31,"",2,3,32.73953559
108498A1710B3027,,,27693,32,"",2,3,32.85622012
108498A1710B3027,,,27685,33,"",2,3,33.01075257
108498A1710B3027,,,27686,34,"",2,3,33.65519145
108498A1710B3027,08:50:00,08:50:00,27687,35,"",0,0,33.93027033
108498A1710B3027,,,27688,36,"",2,3,34.97984221
108498A1710B3027,09:10:00,09:10:00,1533,37,"",0,0,35.29174819
108496A1710B3027,17:30:00,17:30:00,1576,1,"",0,0,0
108496A1710B3027,17:35:00,17:35:00,27738,2,"",0,0,2.23516058
108496A1710B3027,17:37:00,17:37:00,27692,3,"",2,3,2.42672179
108496A1710B3027,,,27693,4,"",2,3,2.54340633
108496A1710B3027,17:39:00,17:39:00,27685,5,"",2,3,2.69793878
108496A1710B3027,,,27686,6,"",2,3,3.34237765
108496A1710B3027,17:45:00,17:45:00,27687,7,"",0,0,3.61745653
108496A1710B3027,17:47:00,17:47:00,27688,8,"",2,3,4.66702842
108496A1710B3027,17:50:00,17:50:00,1533,9,"",0,0,4.97893439
108500A1710B3027,09:55:00,09:55:00,27738,1,"",0,0,0
108500A1710B3027,,,27692,2,"",2,3,0.19156121
108500A1710B3027,,,27693,3,"",2,3,0.30824575
108500A1710B3027,,,27685,4,"",2,3,0.4627782
108500A1710B3027,,,27686,5,"",2,3,1.10721707
108500A1710B3027,10:00:00,10:00:00,27687,6,"",0,0,1.38229595
108500A1710B3027,,,27688,7,"",2,3,2.43186784
108500A1710B3027,10:10:00,10:10:00,1533,8,"",0,0,2.74377381
108510A1710B3027,17:50:00,17:50:00,1533,1,"",0,0,0
108510A1710B3027,,,2803,2,"",2,3,0.28020122
108510A1710B3027,,,27689,3,"",2,3,1.50576478
108510A1710B3027,,,27690,4,"",2,3,1.68840501
108510A1710B3027,18:02:00,18:02:00,1528,5,"",0,0,1.83158896
108510A1710B3027,,,1560,6,"",2,3,2.17155953
108510A1710B3027,,,1562,7,"",2,3,2.62756514
108510A1710B3027,,,9773,8,"",2,3,3.42615655
108510A1710B3027,,,1553,9,"",2,3,4.66486102
