route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10763,SFMTA,1,CALIFORNIA, ,3, , , 
1002,SFMTA,2   ,Clement, ,3, , , 
1003,SFMTA,3   ,Jackson, ,3, , , 
1005,SFMTA,5   ,FULTON , ,3, , , 
1055,SFMTA,5R  ,FULTON RAPID     , ,3, , , 
1006,SFMTA,6   ,PARNASSUS, ,3, , , 
10774,SFMTA,7X,NORIEGA EXPRESS,,3,,,
1071,SFMTA,7   ,HAIGHT - NORIEGA   , ,3, , , 
1072,SFMTA,7R  ,NORIEGA RAPID, ,3, , , 
1110,SFMTA,8   ,BAYSHORE, ,3, , , 
1108,SFMTA,8AX ,Bayshore A Express, ,3, , , 
1109,SFMTA,8BX ,Bayshore B Express, ,3, , , 
1900,SFMTA,9   ,San Bruno, ,3, , , 
1901,SFMTA,9R  ,SAN BRUNO RAPID   , ,3, , , 
1010,SFMTA,10,Townsend,,3,,,
1012,SFMTA,12,FOLSOM/PACIFIC,,3,,,
10773,SFMTA,14,MISSION, ,3, , , 
10775,SFMTA,57,PARKMERCED, ,3, , , 
10776,SFMTA,18,46TH AVENUE, ,3, , , 
10777,SFMTA,19,POLK, ,3, , , 
10778,SFMTA,21,HAYES, ,3, , , 
10779,SFMTA,22,FILLMORE, ,3, , , 
10780,SFMTA,23,MONTEREY, ,3, , , 
10781,SFMTA,24,DIVISADERO, ,3, , , 
10782,SFMTA,27,BRYANT, ,3, , , 
1028,SFMTA,28  ,19TH AVENUE, ,3, , , 
1029,SFMTA,28R ,19TH AVENUE Rapid, ,3, , , 
10784,SFMTA,29,SUNSET, ,3, , , 
1030,SFMTA,30  ,STOCKTON , ,3, , , 
1045,SFMTA,45  ,STOCKTON - UNION, ,3, , , 
10787,SFMTA,31,BALBOA, ,3, , , 
10788,SFMTA,33,ASHBURY-18TH, ,3, , , 
10789,SFMTA,35,EUREKA, ,3, , , 
10790,SFMTA,36,TERESITA, ,3, , , 
10791,SFMTA,37,CORBETT, ,3, , , 
10792,SFMTA,38,GEARY, ,3, , , 
10793,SFMTA,39,COIT TOWER, ,3, , , 
10794,SFMTA,41,UNION, ,3, , , 
10795,SFMTA,43,MASONIC, ,3, , , 
10796,SFMTA,44,O'SHAUGHNESSY, ,3, , , 
10798,SFMTA,47,VAN NESS, ,3, , , 
10799,SFMTA,48,24TH STREET, ,3, , , 
10800,SFMTA,49,VAN NESS-MISSION, ,3, , , 
10801,SFMTA,52,EXCELSIOR, ,3, , , 
10802,SFMTA,54,FELTON, ,3, , , 
10803,SFMTA,55,16TH STREET, ,3, , , 
10804,SFMTA,56,RUTLAND, ,3, , , 
1059,SFMTA,Powell-Mason,, ,5, , , 
1060,SFMTA,Powell-Hyde,, ,5, , , 
10807,SFMTA,CALIFORNIA,, ,5, , , 
10808,SFMTA,66,QUINTARA, ,3, , , 
10809,SFMTA,67,BERNAL HEIGHTS, ,3, , , 
10811,SFMTA,76X,MARIN HEADLANDS EXPRESS, ,3, , , 
1081,SFMTA,81X ,CALTRAIN EXPRESS, ,3, , , 
1082,SFMTA,82X ,LEVI PLAZA EXPRESS, ,3, , , 
10813,SFMTA,83X,MID MARKET EXPRESS, ,3, , , 
10814,SFMTA,88,BART SHUTTLE, ,3, , , 
10815,SFMTA,90,SAN BRUNO OWL, ,3, , , 
10816,SFMTA,91,3RD/19TH AVE OWL, ,3, , , 
1094,SFMTA,J   ,CHURCH, ,0, , , 
1093,SFMTA,N   ,JUDAH, ,0, , , 
1102,SFMTA,K-OWL,, ,3, , , 
1103,SFMTA,L-OWL,, ,3, , , 
1104,SFMTA,M-OWL,, ,3, , , 
1105,SFMTA,N-OWL,, ,3, , , 
1106,SFMTA,T-OWL,, ,3, , , 
1198,SFMTA,L   ,TARAVAL, ,0, , , 
1196,SFMTA,KT  ,INGLESIDE/THIRD, ,0, , , 
1199,SFMTA,M   ,OCEAN VIEW, ,0, , , 
1197,SFMTA,S   ,CASTRO SHUTTLE, ,0, , , 
10820,SFMTA,F,MARKET & WHARVES, ,0, , , 
1033,SFMTA,1AX ,CALIFORNIA A EXPRESS, ,3, , , 
1034,SFMTA,1BX ,CALIFORNIA B EXPRESS, ,3, , , 
1031,SFMTA,31AX,BALBOA A EXPRESS, ,3, , , 
1032,SFMTA,31BX,BALBOA B EXPRESS, ,3, , , 
1038,SFMTA,38AX,GEARY A EXPRESS, ,3, , , 
1039,SFMTA,38BX,GEARY B EXPRESS, ,3, , , 
10822,SFMTA,25,TREASURE ISLAND, ,3, , , 
10823,SFMTA,14R,MISSION RAPID, ,3, , , 
10824,SFMTA,30X,MARINA EXPRESS, ,3, , , 
10825,SFMTA,38R,GEARY RAPID, ,3, , , 
10836,SFMTA,NX,N EXPRESS, ,3, , , 
10849,SFMTA,14X ,MISSION EXPRESS, ,3, , ,     		
10998,SFMTA,E,EMBARCADERO, ,0, , ,                 	
11011,SFMTA,Muni Metro Bus Shuttle , , ,3, , ,
