shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
00110d36-c924-41f7-b489-42de4196e85b,37.7959000,-122.3920560,1,0.0000000
00110d36-c924-41f7-b489-42de4196e85b,37.7959170,-122.3897390,2,204.0792390
00110d36-c924-41f7-b489-42de4196e85b,37.7960360,-122.3867030,3,471.8016756
00110d36-c924-41f7-b489-42de4196e85b,37.7960110,-122.3835270,4,751.5422202
00110d36-c924-41f7-b489-42de4196e85b,37.7927130,-122.3751370,5,1576.2045342
00110d36-c924-41f7-b489-42de4196e85b,37.7861000,-122.3639040,6,2808.1669482
00110d36-c924-41f7-b489-42de4196e85b,37.7567480,-122.3041340,7,9000.4422554
00110d36-c924-41f7-b489-42de4196e85b,37.7357000,-122.2612380,8,13444.6074753
00110d36-c924-41f7-b489-42de4196e85b,37.7355390,-122.2606370,9,13500.5163939
00110d36-c924-41f7-b489-42de4196e85b,37.7355140,-122.2599830,10,13558.2312445
00110d36-c924-41f7-b489-42de4196e85b,37.7355220,-122.2596500,11,13587.5976114
00110d36-c924-41f7-b489-42de4196e85b,37.7358360,-122.2584050,12,13702.7413604
00110d36-c924-41f7-b489-42de4196e85b,37.7362350,-122.2574070,13,13801.2296654
00110d36-c924-41f7-b489-42de4196e85b,37.7365280,-122.2569660,14,13851.9114556
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.6626760,-122.3772450,1,0.0000000
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.6637740,-122.3772690,2,121.8855104
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.6641390,-122.3772740,3,162.3993088
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.6642370,-122.3771290,4,179.1917203
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.6642030,-122.3726120,5,577.7509445
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.6644070,-122.3714000,6,687.0580644
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.6646790,-122.3707030,7,755.5655871
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7035090,-122.3374550,8,5968.5286539
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7402470,-122.3246240,9,10200.1295253
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7732810,-122.3349260,10,13977.3534256
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7875670,-122.3393880,11,15610.9843259
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7914880,-122.3380250,12,16062.4420734
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7960430,-122.3345810,13,16652.0330198
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7972060,-122.3328610,14,16851.0592267
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7974820,-122.3316110,15,16965.3338646
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7973950,-122.3305030,16,17063.3959048
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7964410,-122.3268880,17,17398.9297145
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7913480,-122.3038440,18,19505.8417421
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7911380,-122.3008880,19,19767.2499799
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7912210,-122.2987320,20,19957.3757933
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7914990,-122.2967830,21,20131.7961026
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7931260,-122.2860330,22,21095.7184994
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7937220,-122.2803570,23,21600.0083881
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7939230,-122.2800620,24,21634.2549622
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7941960,-122.2800510,25,21664.5714227
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7944420,-122.2801480,26,21693.1810236
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7950320,-122.2797770,27,21766.3661410
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7944420,-122.2801480,28,21839.5512584
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7941880,-122.2800460,29,21869.1402006
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7939210,-122.2800570,30,21898.7910533
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7937260,-122.2803840,31,21934.8183523
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7918950,-122.2940180,32,23152.7624597
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7913080,-122.2941840,33,23219.5355659
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7911910,-122.2941570,34,23232.7376575
37a47c34-9701-4b8a-a8e4-3eeb918b69cf,37.7906670,-122.2940580,35,23291.5476820
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7906670,-122.2940580,1,0.0000000
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7911910,-122.2941570,2,58.8098939
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7913080,-122.2941840,3,72.0119855
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7918950,-122.2940180,4,138.7850916
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7937260,-122.2803840,5,1356.7291991
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7939210,-122.2800570,6,1392.7564980
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7941880,-122.2800460,7,1422.4073508
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7944420,-122.2801480,8,1451.9962930
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7950320,-122.2797770,9,1525.1814104
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7944420,-122.2801480,10,1598.3665277
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7941960,-122.2800510,11,1626.9761287
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7939230,-122.2800620,12,1657.2925892
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7937220,-122.2803570,13,1691.5391632
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7931260,-122.2860330,14,2195.8290520
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7914990,-122.2967830,15,3159.7514488
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7912210,-122.2987320,16,3334.1717581
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7911380,-122.3008880,17,3524.2975715
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7913480,-122.3038440,18,3785.7058093
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7964410,-122.3268880,19,5892.6178368
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.7973950,-122.3305030,20,6228.1516465
