trip_id,arrival_time,departure_time,stop_id,stop_sequence
5186436,06:20:00,06:20:00,12010396,1
5186436,,,12010334,2
5186436,,,12010328,3
5186436,,,12010327,4
5186436,,,12010337,5
5186436,,,12010346,6
5186436,,,12010332,7
5186436,06:26:00,06:26:00,12010347,8
5186436,,,12010335,9
5186436,,,12010344,10
5186436,,,12010331,11
5186436,,,12010343,12
5186436,,,12010385,13
5186436,,,12010387,14
5186436,06:32:00,06:32:00,12010142,15
5186436,,,12010143,16
5186436,,,12010140,17
5186436,,,12010456,18
5186436,,,12010457,19
5186436,,,12010458,20
5186436,,,12010454,21
5186436,,,12010345,22
5186436,,,12010336,23
5186436,06:37:00,06:37:00,12010338,24
5186436,,,12010340,25
5186436,,,12010339,26
5186436,,,12010333,27
5186436,,,12010341,28
5186436,,,12010329,29
5186436,,,12010330,30
5186436,,,12010342,31
5186436,06:44:00,06:44:00,12010396,32
5186481,06:45:00,06:45:00,12010396,1
5186481,,,12010334,2
5186481,,,12010328,3
5186481,,,12010327,4
5186481,,,12010337,5
5186481,,,12010346,6
5186481,,,12010332,7
5186481,06:51:00,06:51:00,12010347,8
5186481,,,12010335,9
5186481,,,12010344,10
5186481,,,12010331,11
5186481,,,12010343,12
5186481,,,12010385,13
5186481,,,12010387,14
5186481,06:57:00,06:57:00,12010142,15
5186481,,,12010143,16
5186481,,,12010140,17
5186481,,,12010456,18
5186481,,,12010457,19
5186481,,,12010458,20
5186481,,,12010454,21
5186481,,,12010345,22
5186481,,,12010336,23
5186481,07:03:00,07:03:00,12010338,24
5186481,,,12010340,25
5186481,,,12010339,26
5186481,,,12010333,27
5186481,,,12010341,28
5186481,,,12010329,29
5186481,,,12010330,30
5186481,,,12010342,31
5186481,07:10:00,07:10:00,12010396,32
5186438,07:15:00,07:15:00,12010396,1
5186438,,,12010334,2
5186438,,,12010328,3
5186438,,,12010327,4
5186438,,,12010337,5
5186438,,,12010346,6
5186438,,,12010332,7
5186438,07:21:00,07:21:00,12010347,8
5186438,,,12010335,9
5186438,,,12010344,10
5186438,,,12010331,11
5186438,,,12010343,12
5186438,,,12010385,13
5186438,,,12010387,14
5186438,07:27:00,07:27:00,12010142,15
5186438,,,12010143,16
5186438,,,12010140,17
5186438,,,12010456,18
5186438,,,12010457,19
5186438,,,12010458,20
5186438,,,12010454,21
5186438,,,12010345,22
5186438,,,12010336,23
5186438,07:33:00,07:33:00,12010338,24
5186438,,,12010340,25
5186438,,,12010339,26
5186438,,,12010333,27
5186438,,,12010341,28
5186438,,,12010329,29
5186438,,,12010330,30
5186438,,,12010342,31
5186438,07:40:00,07:40:00,12010396,32
5186439,07:45:00,07:45:00,12010396,1
5186439,,,12010334,2
5186439,,,12010328,3
5186439,,,12010327,4
5186439,,,12010337,5
5186439,,,12010346,6
5186439,,,12010332,7
5186439,07:51:00,07:51:00,12010347,8
5186439,,,12010335,9
5186439,,,12010344,10
5186439,,,12010331,11
5186439,,,12010343,12
5186439,,,12010385,13
5186439,,,12010387,14
5186439,07:57:00,07:57:00,12010142,15
5186439,,,12010143,16
5186439,,,12010140,17
5186439,,,12010456,18
5186439,,,12010457,19
5186439,,,12010458,20
5186439,,,12010454,21
5186439,,,12010345,22
5186439,,,12010336,23
5186439,08:03:00,08:03:00,12010338,24
5186439,,,12010340,25
5186439,,,12010339,26
5186439,,,12010333,27
5186439,,,12010341,28
5186439,,,12010329,29
5186439,,,12010330,30
5186439,,,12010342,31
5186439,08:10:00,08:10:00,12010396,32
5186440,08:15:00,08:15:00,12010396,1
5186440,,,12010334,2
5186440,,,12010328,3
5186440,,,12010327,4
5186440,,,12010337,5
5186440,,,12010346,6
5186440,,,12010332,7
5186440,08:21:00,08:21:00,12010347,8
5186440,,,12010335,9
5186440,,,12010344,10
5186440,,,12010331,11
5186440,,,12010343,12
5186440,,,12010385,13
5186440,,,12010387,14
5186440,08:27:00,08:27:00,12010142,15
5186440,,,12010143,16
5186440,,,12010140,17
5186440,,,12010456,18
5186440,,,12010457,19
5186440,,,12010458,20
5186440,,,12010454,21
5186440,,,12010345,22
5186440,,,12010336,23
5186440,08:33:00,08:33:00,12010338,24
5186440,,,12010340,25
5186440,,,12010339,26
5186440,,,12010333,27
5186440,,,12010341,28
5186440,,,12010329,29
5186440,,,12010330,30
5186440,,,12010342,31
5186440,08:40:00,08:40:00,12010396,32
5186441,08:45:00,08:45:00,12010396,1
5186441,,,12010334,2
5186441,,,12010328,3
5186441,,,12010327,4
5186441,,,12010337,5
5186441,,,12010346,6
5186441,,,12010332,7
5186441,08:51:00,08:51:00,12010347,8
5186441,,,12010335,9
5186441,,,12010344,10
5186441,,,12010331,11
5186441,,,12010343,12
5186441,,,12010385,13
5186441,,,12010387,14
5186441,08:57:00,08:57:00,12010142,15
5186441,,,12010143,16
5186441,,,12010140,17
5186441,,,12010456,18
5186441,,,12010457,19
5186441,,,12010458,20
5186441,,,12010454,21
5186441,,,12010345,22
5186441,,,12010336,23
5186441,09:03:00,09:03:00,12010338,24
5186441,,,12010340,25
5186441,,,12010339,26
5186441,,,12010333,27
5186441,,,12010341,28
5186441,,,12010329,29
5186441,,,12010330,30
5186441,,,12010342,31
5186441,09:10:00,09:10:00,12010396,32
5186442,09:15:00,09:15:00,12010396,1
5186442,,,12010334,2
5186442,,,12010328,3
5186442,,,12010327,4
5186442,,,12010337,5
5186442,,,12010346,6
5186442,,,12010332,7
5186442,09:21:00,09:21:00,12010347,8
5186442,,,12010335,9
5186442,,,12010344,10
5186442,,,12010331,11
5186442,,,12010343,12
5186442,,,12010385,13
5186442,,,12010387,14
5186442,09:27:00,09:27:00,12010142,15
5186442,,,12010143,16
5186442,,,12010140,17
5186442,,,12010456,18
5186442,,,12010457,19
5186442,,,12010458,20
5186442,,,12010454,21
5186442,,,12010345,22
5186442,,,12010336,23
5186442,09:33:00,09:33:00,12010338,24
5186442,,,12010340,25
5186442,,,12010339,26
5186442,,,12010333,27
5186442,,,12010341,28
5186442,,,12010329,29
5186442,,,12010330,30
5186442,,,12010342,31
5186442,09:40:00,09:40:00,12010396,32
5186443,09:45:00,09:45:00,12010396,1
5186443,,,12010334,2
5186443,,,12010328,3
5186443,,,12010327,4
5186443,,,12010337,5
5186443,,,12010346,6
5186443,,,12010332,7
5186443,09:51:00,09:51:00,12010347,8
5186443,,,12010335,9
5186443,,,12010344,10
5186443,,,12010331,11
5186443,,,12010343,12
5186443,,,12010385,13
5186443,,,12010387,14
5186443,09:57:00,09:57:00,12010142,15
5186443,,,12010143,16
5186443,,,12010140,17
5186443,,,12010456,18
5186443,,,12010457,19
5186443,,,12010458,20
5186443,,,12010454,21
5186443,,,12010345,22
