route_id,direction_id,direction_name
1638,0,Northbound
1646,0,Northbound
1647,0,Northbound
1639,0,Northbound
1875,0,Westbound
1641,0,Northbound
1642,0,Northbound
1643,0,Westbound
1644,0,Westbound
1649,0,Northbound
1861,0,Westbound
1650,0,Westbound
1651,0,Northbound
1638,1,Southbound
1646,1,Southbound
1647,1,Southbound
1639,1,Southbound
1875,1,Eastbound
1640,1,Clockwise
1641,1,Southbound
1642,1,Southbound
1643,1,Eastbound
1644,1,Eastbound
1649,1,Southbound
1861,1,Eastbound
1650,1,Eastbound
1651,1,Southbound
