agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes
175,1029,30,"Santa Rosa, Sonoma Valley",,3,http://www.sctransit.com/maps-schedules/route-30/,007238,ffffff,0,
183,1045,68,Cloverdale Shuttle,,3,http://www.sctransit.com/maps-schedules/route-68/,a16118,ffffff,0,
175,1079,67,Healdsburg Shuttle,,3,http://sctransit.com/maps-schedules/route-67/,85009b,ffffff,0,
175,1041,24,Sebastopol Shuttle,,3,http://www.sctransit.com/maps-schedules/route-24/,441261,ffffff,0,
175,1028,26,"Sebastopol, Rohnert Park, Cotati",,3,http://www.sctransit.com/maps-schedules/route-26/,9e1f63,ffffff,0,
175,1039,12,Northern Rohnert Park,,3,http://www.sctransit.com/maps-schedules/route-12-route-14/,898989,ffffff,0,
175,1031,40,"Sonoma, Petaluma",,3,http://www.sctransit.com/maps-schedules/route-40/,806517,ffffff,0,
175,1040,14,Northern Rohnert Park,,3,http://www.sctransit.com/maps-schedules/route-12-route-14/,ca4f98,000000,0,
175,1053,60X,"Santa Rosa, Windsor, Healdsburg, Cloverdale",,3,http://www.sctransit.com/maps-schedules/route-60/,00bff0,000000,0,
175,1052,48X,"Santa Rosa, Rohnert Park, Petaluma",,3,http://www.sctransit.com/maps-schedules/route-44-route-48/,0f004b,ffffff,0,
175,1048,14T,"Cotati, Rohnert Park Schools",,3,http://www.sctransit.com/maps-schedules/route-12-route-14/,ca4f98,000000,0,
175,1026,20,"Russian River Area, Forestville, Sebastopol, Santa Rosa",,3,http://www.sctransit.com/maps-schedules/route-20/,282828,ffffff,0,
175,1038,10,"Cotati, Rohnert Park, Sonoma State University",,3,http://www.sctransit.com/maps-schedules/route-10/,ee652e,000000,0,
175,1034,46,"Santa Rosa, Sonoma State University",,3,http://www.sctransit.com/maps-schedules/route-46/,99ff11,000000,0,
175,1051,30X,"Santa Rosa, Glen Ellen, Sonoma",,3,http://www.sctransit.com/maps-schedules/route-30/,007238,ffffff,0,
175,1033,44,"Petaluma JC, SSU, Santa Rosa",,3,http://www.sctransit.com/maps-schedules/route-44-route-48/,66308f,ffffff,0,
175,1043,32,Sonoma Valley,,3,http://www.sctransit.com/maps-schedules/route-32/,5f3817,ffffff,0,
175,1036,60,"Cloverdale, Healdsburg, Windsor, Santa Rosa",,3,http://www.sctransit.com/maps-schedules/route-60/,00bff0,000000,0,
175,1037,62,"Santa Rosa, County Airport, Windsor",,3,http://www.sctransit.com/maps-schedules/route-62/,ea1d2c,ffffff,0,
175,1046,10T,"Cotati, Rohnert Park Schools",,3,http://www.sctransit.com/maps-schedules/route-10/,ee652e,000000,0,
175,1080,29A,Santa Rosa - Sonoma Coast,,3,http://www.sctransit.com/maps-schedules/route-29a/,780027,ffffff,0,
175,1049,20X,"Russian River Area, Forestville, Sebastopol, Santa Rosa",,3,http://www.sctransit.com/maps-schedules/route-20/,282828,ffffff,0,
175,1050,34,"Santa Rosa, Sonoma",,3,http://www.sctransit.com/maps-schedules/route-34/,0156a4,ffffff,0,
175,1027,22,"Sebastopol, Santa Rosa",,3,http://www.sctransit.com/maps-schedules/route-22/,4b8dc8,000000,0,
175,1032,42,"Santa Rosa, Industry West Business Park",,3,http://www.sctransit.com/maps-schedules/route-42/,fcdd13,000000,0,
175,1081,29B,Guerneville - Sonoma Coast,,3,http://www.sctransit.com/maps-schedules/route-29b/,780027,ffffff,0,
175,1030,38,"Sonoma Valley, San Rafael",,3,http://www.sctransit.com/maps-schedules/route-38/,e9098c,000000,0,
175,1047,12T,"Cotati, Rohnert Park Schools",,3,http://www.sctransit.com/maps-schedules/route-12-route-14/,898989,ffffff,0,
175,1035,48,"Petaluma, Rohnert Park, Cotati, Santa Rosa",,3,http://www.sctransit.com/maps-schedules/route-44-route-48/,0f004b,ffffff,0,
175,1042,28,"Guerneville, Monte Rio",,3,http://www.sctransit.com/maps-schedules/route-28/,dda600,000000,0,
175,1044,66,Windsor Shuttle,,3,http://www.sctransit.com/maps-schedules/route-66/,3fb44f,000000,0,
