trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
37910A1162B2143,15:00:00,15:00:00,757068,1,Cloverdale,0,0,0
37910A1162B2143,,,757069,2,Cloverdale,0,0,0.32592167
37910A1162B2143,,,757070,3,Cloverdale,0,0,0.48224794
37910A1162B2143,,,757071,4,Cloverdale,0,0,0.60643574
37910A1162B2143,,,757072,5,Cloverdale,0,0,0.71427177
37910A1162B2143,,,757073,6,Cloverdale,0,0,0.87116729
37910A1162B2143,15:05:00,15:05:00,757074,7,Cloverdale,0,0,1.22071306
37910A1162B2143,,,757075,8,Cloverdale,0,0,1.3711121
37910A1162B2143,,,757076,9,Cloverdale,0,0,1.46295743
37910A1162B2143,,,757077,10,Cloverdale,0,0,1.71370617
37910A1162B2143,,,757087,11,Cloverdale,0,0,1.9771781
37910A1162B2143,15:12:00,15:12:00,757088,12,Cloverdale,0,0,2.40565896
37910A1162B2143,,,757089,13,Cloverdale,0,0,2.73783808
37910A1162B2143,,,757090,14,Cloverdale,0,0,3.19379042
37910A1162B2143,15:19:00,15:19:00,757091,15,Cloverdale,0,0,3.44943086
37910A1162B2143,15:20:00,15:20:00,757092,16,Cloverdale,0,0,4.17978697
37910A1162B2143,,,757093,17,Cloverdale,0,0,4.40333924
37910A1162B2143,,,757094,18,Cloverdale,0,0,4.56595027
37910A1162B2143,15:24:00,15:24:00,757264,19,Cloverdale,0,0,4.97673749
37910A1162B2143,,,757102,20,Cloverdale,0,0,5.23033836
37910A1162B2143,15:30:00,15:30:00,757103,21,Cloverdale,0,0,5.44707016
37910A1162B2143,,,757104,22,Cloverdale,0,0,5.77854267
37910A1162B2143,,,757105,23,Cloverdale,0,0,5.97439658
37910A1162B2143,,,757106,24,Cloverdale,0,0,6.20524082
37910A1162B2143,,,757107,25,Cloverdale,0,0,6.52179983
37910A1162B2143,,,757108,26,Cloverdale,0,0,6.90285181
37910A1162B2143,,,757109,27,Cloverdale,0,0,7.30465036
37910A1162B2143,,,757110,28,Cloverdale,0,0,7.46959249
37910A1162B2143,15:35:00,15:35:00,757116,29,Cloverdale,0,0,7.83339957
37910A1162B2143,,,757117,30,Cloverdale,0,0,8.2656901
37910A1162B2143,,,757118,31,Cloverdale,0,0,8.55331092
37910A1162B2143,,,757119,32,Cloverdale,0,0,8.84511747
37910A1162B2143,15:38:00,15:38:00,757120,33,Cloverdale,0,0,9.07165874
37910A1162B2143,,,757121,34,Cloverdale,0,0,9.29056203
37910A1162B2143,,,757122,35,Cloverdale,0,0,9.47344083
37910A1162B2143,15:41:00,15:41:00,757123,36,Cloverdale,0,0,9.85745563
37910A1162B2143,,,757124,37,Cloverdale,0,0,10.1664781
37910A1162B2143,15:44:00,15:46:00,757125,38,Cloverdale,0,0,10.41728944
37910A1162B2143,,,757126,39,Cloverdale,0,0,10.9077753
37910A1162B2143,,,757127,40,Cloverdale,0,0,11.05534437
37910A1162B2143,,,757128,41,Cloverdale,0,0,11.22648482
37910A1162B2143,,,757129,42,Cloverdale,0,0,11.41364999
37910A1162B2143,,,757130,43,Cloverdale,0,0,11.57870707
37910A1162B2143,,,757131,44,Cloverdale,0,0,11.81547971
37910A1162B2143,15:51:00,15:51:00,757132,45,Cloverdale,0,0,12.20604805
37910A1162B2143,,,757133,46,Cloverdale,0,0,12.40247853
37910A1162B2143,,,757134,47,Cloverdale,0,0,13.24574195
37910A1162B2143,,,757135,48,Cloverdale,0,0,13.48509842
37910A1162B2143,,,757136,49,Cloverdale,0,0,13.86554781
37910A1162B2143,,,757137,50,Cloverdale,0,0,14.31084743
37910A1162B2143,,,757138,51,Cloverdale,0,0,16.13811367
37910A1162B2143,,,757139,52,Cloverdale,0,0,16.27931488
37910A1162B2143,16:00:00,16:00:00,757140,53,Cloverdale,0,0,16.50174174
37910A1162B2143,,,757141,54,Cloverdale,0,0,17.23678768
37910A1162B2143,16:04:00,16:04:00,757142,55,Cloverdale,0,0,17.40982093
37910A1162B2143,,,757145,56,Cloverdale,0,0,17.69454123
37910A1162B2143,,,757146,57,Cloverdale,0,0,18.08330596
37910A1162B2143,,,757147,58,Cloverdale,0,0,18.45204641
37910A1162B2143,,,757148,59,Cloverdale,0,0,19.3924478
37910A1162B2143,,,757149,60,Cloverdale,0,0,20.04101279
37910A1162B2143,,,757150,61,Cloverdale,0,0,21.52089992
37910A1162B2143,,,757151,62,Cloverdale,0,0,22.61748846
37910A1162B2143,16:19:00,16:19:00,757152,63,Cloverdale,0,0,23.98693638
37910A1162B2143,,,757153,64,Cloverdale,0,0,24.19828738
37910A1162B2143,,,757154,65,Cloverdale,0,0,24.61385042
37910A1162B2143,,,757155,66,Cloverdale,0,0,25.02141778
37910A1162B2143,,,757156,67,Cloverdale,0,0,26.54907445
37910A1162B2143,,,757157,68,Cloverdale,0,0,27.6859658
37910A1162B2143,,,757158,69,Cloverdale,0,0,29.25728297
37910A1162B2143,16:28:00,16:28:00,757159,70,Cloverdale,0,0,29.68566531
37910A1162B2143,,,757160,71,Cloverdale,0,0,30.61055064
37910A1162B2143,,,757161,72,Cloverdale,0,0,30.84872285
37910A1162B2143,,,757176,73,Cloverdale,0,0,31.59634545
37910A1162B2143,,,757162,74,Cloverdale,0,0,32.23603737
37910A1162B2143,,,757163,75,Cloverdale,0,0,32.61216773
37910A1162B2143,,,757164,76,Cloverdale,0,0,33.07231667
37910A1162B2143,,,757165,77,Cloverdale,0,0,33.51977554
37910A1162B2143,,,757166,78,Cloverdale,0,0,33.68974169
37910A1162B2143,16:41:00,16:41:00,757168,79,Cloverdale,0,0,34.1034669
37872A1169B2143,13:15:00,13:15:00,758010,1,Windsor Shuttle,0,0,0
37872A1169B2143,,,758011,2,Windsor Shuttle,0,0,0.24945421
37872A1169B2143,,,758012,3,Windsor Shuttle,0,0,0.4454722
37872A1169B2143,,,758013,4,Windsor Shuttle,0,0,0.60155234
37872A1169B2143,,,758014,5,Windsor Shuttle,0,0,0.79963874
37872A1169B2143,,,758015,6,Windsor Shuttle,0,0,0.93777634
37872A1169B2143,13:18:00,13:18:00,758016,7,Windsor Shuttle,0,0,1.23317198
37872A1169B2143,,,758017,8,Windsor Shuttle,0,0,1.4588109
37872A1169B2143,,,758018,9,Windsor Shuttle,0,0,1.72479537
37872A1169B2143,,,758019,10,Windsor Shuttle,0,0,1.8900363
37872A1169B2143,,,758020,11,Windsor Shuttle,0,0,2.22174197
37872A1169B2143,13:22:00,13:22:00,758021,12,Windsor Shuttle,0,0,2.50018336
37872A1169B2143,,,758022,13,Windsor Shuttle,0,0,2.89282295
37872A1169B2143,,,758023,14,Windsor Shuttle,0,0,3.05933827
37872A1169B2143,,,758024,15,Windsor Shuttle,0,0,3.38410137
37872A1169B2143,,,758025,16,Windsor Shuttle,0,0,3.71346588
37872A1169B2143,13:27:00,13:27:00,757112,17,Windsor Shuttle,0,0,4.52929025
37872A1169B2143,,,757113,18,Windsor Shuttle,0,0,5.1578579
37872A1169B2143,,,757114,19,Windsor Shuttle,0,0,5.4011602
37872A1169B2143,,,757115,20,Windsor Shuttle,0,0,5.59274826
37872A1169B2143,13:31:00,13:31:00,758026,21,Windsor Shuttle,0,0,5.86748624
37872A1169B2143,,,758027,22,Windsor Shuttle,0,0,5.92877098
37872A1169B2143,,,758028,23,Windsor Shuttle,0,0,6.06722861
37872A1169B2143,,,758029,24,Windsor Shuttle,0,0,6.26786035
37872A1169B2143,,,758030,25,Windsor Shuttle,0,0,6.44045478
37872A1169B2143,,,758031,26,Windsor Shuttle,0,0,6.71336183
37872A1169B2143,,,758032,27,Windsor Shuttle,0,0,6.91531082
37872A1169B2143,13:34:00,13:34:00,758033,28,Windsor Shuttle,0,0,7.0643293
37872A1169B2143,,,758034,29,Windsor Shuttle,0,0,7.34594421
37872A1169B2143,,,758035,30,Windsor Shuttle,0,0,7.47899925
37872A1169B2143,,,758036,31,Windsor Shuttle,0,0,7.78630155
37872A1169B2143,13:36:00,13:36:00,758037,32,Windsor Shuttle,0,0,8.01709557
37872A1169B2143,13:39:00,13:39:00,758038,33,Windsor Shuttle,0,0,8.40137692
37872A1169B2143,13:42:00,13:42:00,758039,34,Windsor Shuttle,0,0,8.80885545
37872A1169B2143,,,758040,35,Windsor Shuttle,0,0,9.21586662
37872A1169B2143,,,758041,36,Windsor Shuttle,0,0,9.38877065
37872A1169B2143,,,758042,37,Windsor Shuttle,0,0,9.54844849
37872A1169B2143,,,758043,38,Windsor Shuttle,0,0,9.69058569
37872A1169B2143,,,759361,39,Windsor Shuttle,0,0,9.81136029
37872A1169B2143,,,758044,40,Windsor Shuttle,0,0,9.94504626
37872A1169B2143,13:47:00,13:47:00,758045,41,Windsor Shuttle,0,0,10.38630599
37872A1169B2143,,,758046,42,Windsor Shuttle,0,0,10.75786018
37872A1169B2143,,,758047,43,Windsor Shuttle,0,0,10.8848419
37872A1169B2143,,,758048,44,Windsor Shuttle,0,0,11.14519193
37872A1169B2143,,,758049,45,Windsor Shuttle,0,0,11.27474774
37872A1169B2143,,,758050,46,Windsor Shuttle,0,0,11.55796764
37872A1169B2143,,,758051,47,Windsor Shuttle,0,0,11.73716282
37872A1169B2143,,,758052,48,Windsor Shuttle,0,0,11.95386225
37872A1169B2143,,,758053,49,Windsor Shuttle,0,0,12.14176953
37872A1169B2143,,,757912,50,Windsor Shuttle,0,0,12.22896941
37872A1169B2143,13:52:00,13:52:00,758010,51,Windsor Shuttle,0,0,12.30771493
37887A1162B2143,06:30:00,06:30:00,757167,1,Downtown Santa Rosa (Cloverdale),0,0,0
37887A1162B2143,06:35:00,06:35:00,757168,2,Downtown Santa Rosa (Cloverdale),0,0,0.79103193
37887A1162B2143,,,757183,3,Downtown Santa Rosa (Cloverdale),0,0,9.81939949
37887A1162B2143,,,757184,4,Downtown Santa Rosa (Cloverdale),0,0,10.1912516
37887A1162B2143,,,757185,5,Downtown Santa Rosa (Cloverdale),0,0,10.51935713
37887A1162B2143,,,757186,6,Downtown Santa Rosa (Cloverdale),0,0,10.63679715
37887A1162B2143,06:51:00,06:51:00,757187,7,Downtown Santa Rosa (Cloverdale),0,0,10.84440651
37887A1162B2143,,,757190,8,Downtown Santa Rosa (Cloverdale),0,0,14.85607106
37887A1162B2143,,,757191,9,Downtown Santa Rosa (Cloverdale),0,0,15.49477047
37887A1162B2143,,,757192,10,Downtown Santa Rosa (Cloverdale),0,0,16.35117682
37887A1162B2143,07:01:00,07:01:00,757193,11,Downtown Santa Rosa (Cloverdale),0,0,16.65213711
37887A1162B2143,,,757194,12,Downtown Santa Rosa (Cloverdale),0,0,17.08303482
37887A1162B2143,,,757195,13,Downtown Santa Rosa (Cloverdale),0,0,17.31922232
37887A1162B2143,,,757196,14,Downtown Santa Rosa (Cloverdale),0,0,17.76881902
37887A1162B2143,07:07:00,07:07:00,757197,15,Downtown Santa Rosa (Cloverdale),0,0,18.40829284
37887A1162B2143,,,757198,16,Downtown Santa Rosa (Cloverdale),0,0,18.56429566
