service_id,date,exception_type
2583A3844,20161124,2
2606A3861,20161111,2
2607A3810,20161111,1
2373A3650,20161124,2
2609A3862,20160905,2
2583A3844,20160905,2
2606A3861,20160704,2
2606A3861,20161125,2
2373A3650,20160905,2
2607A3810,20161125,1
2609A3862,20161124,2
2612A3865,20161111,1
2609A3862,20160704,2
2373A3650,20161111,2
2405A4032,20160530,2
2608A3810,20161111,2
2606A3861,20161124,2
2373A3650,20160704,2
2373A3650,20161125,2
2404A4032,20160530,2
2608A3810,20161125,2
2583A3844,20160704,2
2583A3844,20161125,2
2609A3862,20161111,1
2607A3810,20160905,2
2556A4034,20160704,2
2555A3810,20160905,2
2612A3865,20161125,2
2606A3861,20160905,2
2375A3650,20161124,2
2555A3810,20161111,2
2612A3865,20161124,2
2375A3650,20160704,2
2375A3650,20161125,2
2377A3650,20161111,2
2376A3650,20161124,2
2608A3810,20161124,1
2374A3650,20160704,2
2374A3650,20161125,2
2375A3650,20161111,2
2377A3650,20160704,2
2377A3650,20161125,2
2555A3810,20160704,2
2555A3810,20161125,2
2607A3810,20160704,2
2376A3650,20160905,2
2608A3810,20160905,1
2374A3650,20161111,2
2583A3844,20161111,1
2374A3650,20160905,2
2376A3650,20161111,2
2377A3650,20161124,2
2607A3810,20161124,2
2555A3810,20161124,2
2609A3862,20161125,1
2375A3650,20160905,2
2608A3810,20160704,1
2376A3650,20160704,2
2376A3650,20161125,2
2374A3650,20161124,2
2377A3650,20160905,2
