trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_1051384_b_25910_tn_1,08:00:00,08:00:00,2455128,1,,0,0,0,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454949,2,,0,0,1163.38594569268,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454950,3,,0,0,1456.57344665011,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454953,4,,0,0,1727.36078319471,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454954,5,,0,0,1843.96011871017,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454956,6,,0,0,2035.81695403437,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454957,7,,0,0,2177.02095700585,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454958,8,,0,0,2487.64046251649,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454960,9,,0,0,2711.84454714867,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454961,10,,0,0,3392.72800905093,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,08:07:00,08:07:00,2454962,11,,0,0,3731.87446066724,1,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454963,12,,0,0,3879.50243206409,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454964,13,,0,0,4283.67732507355,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454965,14,,0,0,4531.39103234021,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454966,15,,0,0,4870.50905460565,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454967,16,,0,0,5224.33765986895,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,08:11:00,08:11:00,2454968,17,,0,0,5422.80161306478,1,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454969,18,,0,0,5752.93515928923,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454970,19,,0,0,6037.76009170205,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454971,20,,0,0,6218.71504733811,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454972,21,,0,0,6421.25947248927,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454973,22,,0,0,6682.47119460467,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454974,23,,0,0,6818.66430728662,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2454975,24,,0,0,7224.66324124926,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,08:16:00,08:16:00,2454976,25,,0,0,7499.56724027073,1,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2455110,26,,0,0,8291.93893446432,0,,,,,1,1,,,,
t_1051384_b_25910_tn_1,,,2455034,27,,0,0,8807.25955908065,0,,,,,1,1,,,,
