service_id,date,exception_type
2405A3694,20150907,2
2609A3862,20151224,2
2376A3650,20151111,2
2405A4031,20160215,2
2404A3694,20151127,2
2405A4031,20160118,2
2404A4031,20160118,2
2609A3862,20151225,2
2583A3844,20151126,2
2405A3694,20151127,2
2609A3862,20151111,1
2404A4031,20160215,2
2373A3650,20151126,2
2376A3650,20151231,2
2607A3810,20151127,1
2404A3694,20150907,2
2374A3650,20151231,2
2555A3810,20151111,2
2606A3861,20151225,2
2373A3650,20150907,2
2404A3694,20151126,2
2583A3844,20150907,2
2606A3861,20151231,1
2373A3650,20151127,2
2556A3811,20151224,1
2556A3811,20151231,2
2583A3844,20151127,2
2405A3694,20151126,2
2374A3650,20151111,2
2608A3810,20151127,2
2555A3810,20151224,1
2376A3650,20151225,2
2607A3810,20150907,2
2375A3650,20151127,2
2377A3650,20150907,2
2609A3862,20151231,2
2612A3865,20151225,2
2374A3650,20151127,2
2608A3810,20151111,2
2375A3650,20150907,2
2376A3650,20151224,2
2583A3844,20151224,1
2612A3865,20151126,2
2377A3650,20151127,2
2555A3810,20151127,2
2608A3810,20151231,2
2374A3650,20150907,2
2612A3865,20151224,2
2608A3810,20151126,1
2376A3650,20151126,2
2373A3650,20151231,2
2606A3861,20151111,2
2405A3694,20151111,2
2374A3650,20151126,2
2377A3650,20151225,2
2608A3810,20150907,1
2555A3810,20151225,2
2376A3650,20150907,2
2375A3650,20151224,2
2607A3810,20151225,2
2556A3811,20160101,2
2375A3650,20151126,2
2607A3810,20151111,1
2556A3811,20151225,2
2374A3650,20151224,2
2609A3862,20151127,1
2377A3650,20151224,2
2555A3810,20151231,1
2376A3650,20151127,2
2375A3650,20151225,2
2607A3810,20151224,2
2555A3810,20151126,2
2607A3810,20151126,2
2606A3861,20151224,1
2556A4034,20160704,2
2612A3865,20151127,2
2404A3694,20151111,2
2377A3650,20151126,2
2374A3650,20151225,2
2606A3861,20150907,2
2373A3650,20151225,2
2583A3844,20151111,1
2609A3862,20151126,2
2583A3844,20151225,2
2373A3650,20151224,2
2606A3861,20151127,2
2608A3810,20151224,2
2583A3844,20151231,1
2405A4032,20160530,2
2377A3650,20151111,2
2375A3650,20151231,2
2609A3862,20150907,2
2375A3650,20151111,2
2606A3861,20151126,2
2607A3810,20151231,2
2404A4032,20160530,2
2377A3650,20151231,2
2612A3865,20151111,1
2555A3810,20150907,2
2608A3810,20151225,1
2373A3650,20151111,2
