shstReferenceId,shstGeometryId,roadwaylongname,roadtype,from,to,dir,tollclass_segid_old,tollclass_segid_new,highway,lanes,oneWay,bridge,name,tunnel,tomtom_lanes,tomtom_name,tomtom_rtedir,sfcta_STREETNAME,bridge_detail
217253518a29aa69c40a4114d557d24d,85439a06751a946069d3a86973c9a64a,Benicia-Martinez Bridge Toll Plaza,Bridge_Pass,NA,NA,NB,1,11,"['motorway', 'motorway']","['2', '2']","[True, True]","['yes', 'nan']","['Senator Daniel E Boatwright Highway', 'Senator Daniel E Boatwright Highway']","['nan', 'nan']",5,I-680 N,N,nan,Benicia General Purpose
42540cb7ed261fa5074bc659ba8caee2,b7a3ca9dba5ac610ccdb0c2f749be7d5,Benicia-Martinez Bridge Toll Plaza,Bridge_Pass,NA,NA,NB,1,11,"['motorway', 'motorway', 'motorway', 'motorway']","['9', '6', '5', '5']","[True, True, True, True]","['nan', 'nan', 'nan', 'nan']","['Senator Daniel E Boatwright Highway', 'Senator Daniel E Boatwright Highway', 'Senator Daniel E Boatwright Highway', 'Senator Daniel E Boatwright Highway']","['nan', 'nan', 'nan', 'nan']",NA,nan,nan,nan,Benicia Bridge HOV
44e88bf3d040195167b31388d839122e,fe15327cd5f6f94baa0db215d25b1212,Benicia-Martinez Bridge Toll Plaza,Bridge_Pass,NA,NA,NB,1,11,"['motorway', 'motorway']","['1', '1']","[True, True]","['yes', 'nan']","['Senator Daniel E Boatwright Highway', 'Senator Daniel E Boatwright Highway']","['nan', 'nan']",NA,nan,nan,nan,Benicia Fastrak
1fb8993130d2c5535812ede12d2d15c4,2a87460e9c3e081f217b0cc42723cebd,Carquinez Bridge Toll Plaza,Bridge_Pass,NA,NA,NB,2,12,"['motorway', 'motorway', 'motorway', 'motorway', 'motorway']","['8', '10', '11', '12', '12']","[True, True, True, True, True]","['nan', 'nan', 'nan', 'nan', 'nan']","['nan', 'nan', 'nan', 'nan', 'nan']","['nan', 'nan', 'nan', 'nan', 'nan']",2,I-80 E,E,nan,NA
7bb59b6716c8d22b38f90e1696461e5e,fa1a32e75dfc822c58c05b978638209f,Golden Gate Bridge Toll Plaza,Bridge_Pass,NA,NA,SB,4,14,"['motorway', 'motorway', 'motorway', 'motorway', 'motorway']","['4', '3', '8', '8', '8']","[True, True, True, True, True]","['nan', 'yes', 'nan', 'nan', 'nan']","['Redwood Highway', 'Golden Gate Bridge', 'Golden Gate Bridge', 'Golden Gate Bridge', 'Presidio Parkway']","['nan', 'nan', 'nan', 'nan', 'nan']",6,Golden Gate Brg S,S,HWY 101 SOUTHBOUND,NA
a1be9886a94386cc8d028bfd5a076ba4,5a5d03d446a05e9bdfbdabf484f3272b,Bay Bridge Toll Plaza,Bridge_Pass,NA,NA,WB,5,15,"['motorway', 'motorway']","['2', '2']","[True, True]","['yes', 'nan']","['nan', 'nan']","['nan', 'nan']",2,I-80 W,W,nan,Bay Bridge HOV
6efbc4296c278e94b543481fbbf1ac3f,72fc359c7646431d672e1fa42a19541e,San Mateo Bridge Toll Plaza,Bridge_Pass,NA,NA,WB,6,16,"['motorway', '']","['4', '']","[True, True]","['nan', '']","['nan', '']","['nan', '']",4,CA-92 W,W,nan,NA
2abb410a0cf3abe04cb7c622077ea717,b658b9a2e4659331daf332d3ef2938b0,Dumbarton Bridge Toll Plaza,Bridge_Pass,NA,NA,WB,7,17,"['motorway', 'motorway', 'motorway']","['3', '3', '3']","[True, True, True]","['nan', 'nan', 'nan']","['nan', 'nan', 'nan']","['nan', 'building_passage', 'nan']",6,CA-84 W,W,nan,NA
be0b25b3c93a1c072193df8ae693fd74,0ce877135985f1a2e18d953dbf8d541d,Dumbarton Bridge Toll Plaza,Bridge_Pass,NA,NA,WB,7,17,motorway,3,True,nan,nan,nan,4,CA-84 W,W,nan,NA
005a078054386cb7659bcbbdacf61c63,02221fc1139598143c11527b1aed64c2,I-80 WB,HOV_Lane,Carquinez Bridge,Bay Bridge,WB,1,21,"['motorway', 'motorway']","['4', '4']","[True, True]","['nan', 'nan']","['Eastshore Freeway', 'Eastshore Freeway']","['nan', 'nan']",5,I-80 W,W,nan,NA
